instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,deepseek/DeepSeek-R1,134,128,5000000000,5148613914,148613914,0,7781588,1108915,"[1106096, 1106153, 1106210, 1106266, 1106322, 1106377, 1106432, 1106487, 1106541, 1106595, 1106649, 1106702, 1106755, 1106807, 1106859, 1106911, 1106962, 1107013, 1107064, 1107114, 1107164, 1107214, 1107263, 1107312, 1107361, 1107409, 1107457, 1107505, 1107553, 1107600, 1107647, 1107694, 1107740, 1107786, 1107832, 1107878, 1107923, 1107968, 1108013, 1108057, 1108101, 1108145, 1108189, 1108233, 1108276, 1108319, 1108362, 1108404, 1108446, 1108489, 1108530, 1108572, 1108613, 1108655, 1108695, 1108736, 1108777, 1108817, 1108857, 1108897, 1108937, 1108976, 1109015, 1109054, 1109093, 1109132, 1109170, 1109209, 1109247, 1109285, 1109322, 1109360, 1109397, 1109435, 1109472, 1109508, 1109545, 1109581, 1109618, 1109654, 1109690, 1109726, 1109761, 1109797, 1109832, 1109867, 1109902, 1109937, 1109972, 1110006, 1110040, 1110075, 1110109, 1110143, 1110176, 1110210, 1110243, 1110277, 1110310, 1110343, 1110376, 1110408, 1110441, 1110474, 1110506, 1110538, 1110570, 1110602, 1110634, 1110665, 1110697, 1110728, 1110760, 1110791, 1110822, 1110853, 1110883, 1110914, 1110945, 1110975, 1111005, 1111035, 1111066, 1111080, 1111095, 1111109, 1111124]"
0,1,deepseek/DeepSeek-R1,10,128,45000000000,45143700252,143700252,613914,3489719,1104019,"[1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102319, 1102318, 1102317, 1102316, 1102315, 1102314, 1102313, 1102312, 1102311, 1102310, 1102309, 1102308, 1102308, 1102307, 1102306, 1102306, 1102367, 1102426, 1102483, 1102539, 1102594, 1102647, 1102698, 1102748, 1102797, 1102845, 1102892, 1102938, 1102982, 1103026, 1103069, 1103110, 1103151, 1103191, 1103231, 1103269, 1103307, 1103344, 1103381, 1103416, 1103452, 1103486, 1103520, 1103553, 1103586, 1103618, 1103650, 1103682, 1103728, 1103773, 1103818, 1103862, 1103905, 1103948, 1103990, 1104032, 1104073, 1104114, 1104154, 1104193, 1104232, 1104270, 1104308, 1104346, 1104383, 1104419, 1104455, 1104491, 1104526, 1104561, 1104595, 1104629, 1104663, 1104696, 1104729, 1104762, 1104794, 1104826, 1104857, 1104888, 1104919, 1104950, 1104980, 1105010, 1105039, 1105069, 1105098, 1105127, 1105155, 1105183, 1105211, 1105239, 1105266, 1105293, 1105320, 1105347, 1105374, 1105400, 1105426, 1105452, 1105477, 1105502, 1105528, 1105552, 1105577, 1105602, 1105626, 1105650, 1105674, 1105698, 1105721, 1105745, 1105804, 1105864, 1105922, 1105981, 1106039, 1106096, 1106153, 1106210]"
0,2,deepseek/DeepSeek-R1,14,128,118000000000,118144559766,144559766,700252,4333120,1104146,"[1102321, 1102321, 1102321, 1102319, 1102318, 1102317, 1102316, 1102315, 1102314, 1102313, 1102312, 1102311, 1102310, 1102309, 1102308, 1102308, 1102307, 1102306, 1102306, 1102367, 1102426, 1102483, 1102539, 1102594, 1102647, 1102698, 1102748, 1102797, 1102845, 1102892, 1102938, 1102982, 1103026, 1103069, 1103110, 1103151, 1103191, 1103231, 1103269, 1103307, 1103344, 1103381, 1103416, 1103452, 1103486, 1103520, 1103553, 1103586, 1103618, 1103650, 1103682, 1103728, 1103773, 1103818, 1103862, 1103905, 1103948, 1103990, 1104032, 1104073, 1104114, 1104154, 1104193, 1104232, 1104270, 1104308, 1104346, 1104383, 1104419, 1104455, 1104491, 1104526, 1104561, 1104595, 1104629, 1104663, 1104696, 1104729, 1104762, 1104794, 1104826, 1104857, 1104888, 1104919, 1104950, 1104980, 1105010, 1105039, 1105069, 1105098, 1105127, 1105155, 1105183, 1105211, 1105239, 1105266, 1105293, 1105320, 1105347, 1105374, 1105400, 1105426, 1105452, 1105477, 1105502, 1105528, 1105552, 1105577, 1105602, 1105626, 1105650, 1105674, 1105698, 1105721, 1105745, 1105804, 1105864, 1105922, 1105981, 1106039, 1106096, 1106153, 1106210, 1106266, 1106322, 1106377, 1106432]"
0,3,deepseek/DeepSeek-R1,17,128,185000000000,185144999021,144999021,559766,4759715,1104246,"[1102319, 1102318, 1102317, 1102316, 1102315, 1102314, 1102313, 1102312, 1102311, 1102310, 1102309, 1102308, 1102308, 1102307, 1102306, 1102306, 1102367, 1102426, 1102483, 1102539, 1102594, 1102647, 1102698, 1102748, 1102797, 1102845, 1102892, 1102938, 1102982, 1103026, 1103069, 1103110, 1103151, 1103191, 1103231, 1103269, 1103307, 1103344, 1103381, 1103416, 1103452, 1103486, 1103520, 1103553, 1103586, 1103618, 1103650, 1103682, 1103728, 1103773, 1103818, 1103862, 1103905, 1103948, 1103990, 1104032, 1104073, 1104114, 1104154, 1104193, 1104232, 1104270, 1104308, 1104346, 1104383, 1104419, 1104455, 1104491, 1104526, 1104561, 1104595, 1104629, 1104663, 1104696, 1104729, 1104762, 1104794, 1104826, 1104857, 1104888, 1104919, 1104950, 1104980, 1105010, 1105039, 1105069, 1105098, 1105127, 1105155, 1105183, 1105211, 1105239, 1105266, 1105293, 1105320, 1105347, 1105374, 1105400, 1105426, 1105452, 1105477, 1105502, 1105528, 1105552, 1105577, 1105602, 1105626, 1105650, 1105674, 1105698, 1105721, 1105745, 1105804, 1105864, 1105922, 1105981, 1106039, 1106096, 1106153, 1106210, 1106266, 1106322, 1106377, 1106432, 1106487, 1106541, 1106595]"
0,4,deepseek/DeepSeek-R1,6,128,214000000000,214143296668,143296668,999021,3101349,1103900,"[1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102319, 1102318, 1102317, 1102316, 1102315, 1102314, 1102313, 1102312, 1102311, 1102310, 1102309, 1102308, 1102308, 1102307, 1102306, 1102306, 1102367, 1102426, 1102483, 1102539, 1102594, 1102647, 1102698, 1102748, 1102797, 1102845, 1102892, 1102938, 1102982, 1103026, 1103069, 1103110, 1103151, 1103191, 1103231, 1103269, 1103307, 1103344, 1103381, 1103416, 1103452, 1103486, 1103520, 1103553, 1103586, 1103618, 1103650, 1103682, 1103728, 1103773, 1103818, 1103862, 1103905, 1103948, 1103990, 1104032, 1104073, 1104114, 1104154, 1104193, 1104232, 1104270, 1104308, 1104346, 1104383, 1104419, 1104455, 1104491, 1104526, 1104561, 1104595, 1104629, 1104663, 1104696, 1104729, 1104762, 1104794, 1104826, 1104857, 1104888, 1104919, 1104950, 1104980, 1105010, 1105039, 1105069, 1105098, 1105127, 1105155, 1105183, 1105211, 1105239, 1105266, 1105293, 1105320, 1105347, 1105374, 1105400, 1105426, 1105452, 1105477, 1105502, 1105528, 1105552, 1105577, 1105602, 1105626, 1105650, 1105674, 1105698, 1105721, 1105745, 1105804, 1105864, 1105922, 1105981]"
0,5,deepseek/DeepSeek-R1,24,128,233000000000,233146057047,146057047,296668,5786308,1104494,"[1102312, 1102311, 1102310, 1102309, 1102308, 1102308, 1102307, 1102306, 1102306, 1102367, 1102426, 1102483, 1102539, 1102594, 1102647, 1102698, 1102748, 1102797, 1102845, 1102892, 1102938, 1102982, 1103026, 1103069, 1103110, 1103151, 1103191, 1103231, 1103269, 1103307, 1103344, 1103381, 1103416, 1103452, 1103486, 1103520, 1103553, 1103586, 1103618, 1103650, 1103682, 1103728, 1103773, 1103818, 1103862, 1103905, 1103948, 1103990, 1104032, 1104073, 1104114, 1104154, 1104193, 1104232, 1104270, 1104308, 1104346, 1104383, 1104419, 1104455, 1104491, 1104526, 1104561, 1104595, 1104629, 1104663, 1104696, 1104729, 1104762, 1104794, 1104826, 1104857, 1104888, 1104919, 1104950, 1104980, 1105010, 1105039, 1105069, 1105098, 1105127, 1105155, 1105183, 1105211, 1105239, 1105266, 1105293, 1105320, 1105347, 1105374, 1105400, 1105426, 1105452, 1105477, 1105502, 1105528, 1105552, 1105577, 1105602, 1105626, 1105650, 1105674, 1105698, 1105721, 1105745, 1105804, 1105864, 1105922, 1105981, 1106039, 1106096, 1106153, 1106210, 1106266, 1106322, 1106377, 1106432, 1106487, 1106541, 1106595, 1106649, 1106702, 1106755, 1106807, 1106859, 1106911, 1106962]"
0,6,deepseek/DeepSeek-R1,14,128,261000000000,261143916561,143916561,57047,3689915,1104146,"[1102321, 1102321, 1102321, 1102319, 1102318, 1102317, 1102316, 1102315, 1102314, 1102313, 1102312, 1102311, 1102310, 1102309, 1102308, 1102308, 1102307, 1102306, 1102306, 1102367, 1102426, 1102483, 1102539, 1102594, 1102647, 1102698, 1102748, 1102797, 1102845, 1102892, 1102938, 1102982, 1103026, 1103069, 1103110, 1103151, 1103191, 1103231, 1103269, 1103307, 1103344, 1103381, 1103416, 1103452, 1103486, 1103520, 1103553, 1103586, 1103618, 1103650, 1103682, 1103728, 1103773, 1103818, 1103862, 1103905, 1103948, 1103990, 1104032, 1104073, 1104114, 1104154, 1104193, 1104232, 1104270, 1104308, 1104346, 1104383, 1104419, 1104455, 1104491, 1104526, 1104561, 1104595, 1104629, 1104663, 1104696, 1104729, 1104762, 1104794, 1104826, 1104857, 1104888, 1104919, 1104950, 1104980, 1105010, 1105039, 1105069, 1105098, 1105127, 1105155, 1105183, 1105211, 1105239, 1105266, 1105293, 1105320, 1105347, 1105374, 1105400, 1105426, 1105452, 1105477, 1105502, 1105528, 1105552, 1105577, 1105602, 1105626, 1105650, 1105674, 1105698, 1105721, 1105745, 1105804, 1105864, 1105922, 1105981, 1106039, 1106096, 1106153, 1106210, 1106266, 1106322, 1106377, 1106432]"
0,7,deepseek/DeepSeek-R1,13,128,267000000000,267144581137,144581137,916561,4358602,1104114,"[1102321, 1102321, 1102321, 1102321, 1102319, 1102318, 1102317, 1102316, 1102315, 1102314, 1102313, 1102312, 1102311, 1102310, 1102309, 1102308, 1102308, 1102307, 1102306, 1102306, 1102367, 1102426, 1102483, 1102539, 1102594, 1102647, 1102698, 1102748, 1102797, 1102845, 1102892, 1102938, 1102982, 1103026, 1103069, 1103110, 1103151, 1103191, 1103231, 1103269, 1103307, 1103344, 1103381, 1103416, 1103452, 1103486, 1103520, 1103553, 1103586, 1103618, 1103650, 1103682, 1103728, 1103773, 1103818, 1103862, 1103905, 1103948, 1103990, 1104032, 1104073, 1104114, 1104154, 1104193, 1104232, 1104270, 1104308, 1104346, 1104383, 1104419, 1104455, 1104491, 1104526, 1104561, 1104595, 1104629, 1104663, 1104696, 1104729, 1104762, 1104794, 1104826, 1104857, 1104888, 1104919, 1104950, 1104980, 1105010, 1105039, 1105069, 1105098, 1105127, 1105155, 1105183, 1105211, 1105239, 1105266, 1105293, 1105320, 1105347, 1105374, 1105400, 1105426, 1105452, 1105477, 1105502, 1105528, 1105552, 1105577, 1105602, 1105626, 1105650, 1105674, 1105698, 1105721, 1105745, 1105804, 1105864, 1105922, 1105981, 1106039, 1106096, 1106153, 1106210, 1106266, 1106322, 1106377]"
0,8,deepseek/DeepSeek-R1,38,128,410000000000,410147980233,147980233,581137,7640004,1105041,"[1102647, 1102698, 1102748, 1102797, 1102845, 1102892, 1102938, 1102982, 1103026, 1103069, 1103110, 1103151, 1103191, 1103231, 1103269, 1103307, 1103344, 1103381, 1103416, 1103452, 1103486, 1103520, 1103553, 1103586, 1103618, 1103650, 1103682, 1103728, 1103773, 1103818, 1103862, 1103905, 1103948, 1103990, 1104032, 1104073, 1104114, 1104154, 1104193, 1104232, 1104270, 1104308, 1104346, 1104383, 1104419, 1104455, 1104491, 1104526, 1104561, 1104595, 1104629, 1104663, 1104696, 1104729, 1104762, 1104794, 1104826, 1104857, 1104888, 1104919, 1104950, 1104980, 1105010, 1105039, 1105069, 1105098, 1105127, 1105155, 1105183, 1105211, 1105239, 1105266, 1105293, 1105320, 1105347, 1105374, 1105400, 1105426, 1105452, 1105477, 1105502, 1105528, 1105552, 1105577, 1105602, 1105626, 1105650, 1105674, 1105698, 1105721, 1105745, 1105804, 1105864, 1105922, 1105981, 1106039, 1106096, 1106153, 1106210, 1106266, 1106322, 1106377, 1106432, 1106487, 1106541, 1106595, 1106649, 1106702, 1106755, 1106807, 1106859, 1106911, 1106962, 1107013, 1107064, 1107114, 1107164, 1107214, 1107263, 1107312, 1107361, 1107409, 1107457, 1107505, 1107553, 1107600, 1107647]"
0,9,deepseek/DeepSeek-R1,5,128,535000000000,535143076544,143076544,980233,2884885,1103871,"[1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102321, 1102319, 1102318, 1102317, 1102316, 1102315, 1102314, 1102313, 1102312, 1102311, 1102310, 1102309, 1102308, 1102308, 1102307, 1102306, 1102306, 1102367, 1102426, 1102483, 1102539, 1102594, 1102647, 1102698, 1102748, 1102797, 1102845, 1102892, 1102938, 1102982, 1103026, 1103069, 1103110, 1103151, 1103191, 1103231, 1103269, 1103307, 1103344, 1103381, 1103416, 1103452, 1103486, 1103520, 1103553, 1103586, 1103618, 1103650, 1103682, 1103728, 1103773, 1103818, 1103862, 1103905, 1103948, 1103990, 1104032, 1104073, 1104114, 1104154, 1104193, 1104232, 1104270, 1104308, 1104346, 1104383, 1104419, 1104455, 1104491, 1104526, 1104561, 1104595, 1104629, 1104663, 1104696, 1104729, 1104762, 1104794, 1104826, 1104857, 1104888, 1104919, 1104950, 1104980, 1105010, 1105039, 1105069, 1105098, 1105127, 1105155, 1105183, 1105211, 1105239, 1105266, 1105293, 1105320, 1105347, 1105374, 1105400, 1105426, 1105452, 1105477, 1105502, 1105528, 1105552, 1105577, 1105602, 1105626, 1105650, 1105674, 1105698, 1105721, 1105745, 1105804, 1105864, 1105922]"
