instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,deepseek/DeepSeek-R1,134,128,5000000000,5110397551,110397551,0,4382108,834767,"[831626, 831690, 831753, 831816, 831878, 831940, 832001, 832062, 832122, 832182, 832242, 832301, 832360, 832418, 832476, 832534, 832591, 832648, 832704, 832760, 832816, 832871, 832926, 832981, 833035, 833089, 833143, 833196, 833249, 833302, 833354, 833406, 833458, 833509, 833560, 833611, 833661, 833712, 833761, 833811, 833860, 833909, 833958, 834006, 834055, 834103, 834150, 834198, 834245, 834292, 834338, 834385, 834431, 834476, 834522, 834567, 834613, 834657, 834702, 834747, 834791, 834835, 834878, 834922, 834965, 835008, 835051, 835094, 835136, 835179, 835221, 835262, 835304, 835345, 835387, 835428, 835469, 835509, 835550, 835590, 835630, 835670, 835709, 835749, 835788, 835827, 835866, 835905, 835944, 835982, 836020, 836059, 836097, 836134, 836172, 836209, 836247, 836284, 836321, 836357, 836394, 836430, 836467, 836503, 836539, 836575, 836611, 836646, 836682, 836717, 836752, 836787, 836822, 836856, 836891, 836925, 836960, 836994, 837028, 837062, 837095, 837129, 837163, 837173, 837183, 837193, 837203]"
0,1,deepseek/DeepSeek-R1,10,128,45000000000,45107433010,107433010,397551,2038457,829878,"[828264, 828264, 828264, 828264, 828264, 828264, 828264, 828284, 828304, 828323, 828341, 828358, 828374, 828389, 828404, 828418, 828432, 828445, 828457, 828469, 828481, 828493, 828504, 828556, 828607, 828657, 828706, 828753, 828798, 828843, 828886, 828929, 828970, 829010, 829050, 829088, 829126, 829163, 829199, 829234, 829269, 829303, 829336, 829369, 829401, 829433, 829463, 829494, 829524, 829553, 829582, 829610, 829638, 829665, 829693, 829727, 829761, 829794, 829827, 829860, 829892, 829923, 829955, 829985, 830015, 830045, 830075, 830104, 830133, 830161, 830189, 830217, 830244, 830271, 830297, 830324, 830350, 830376, 830401, 830426, 830451, 830476, 830500, 830524, 830548, 830571, 830595, 830618, 830640, 830663, 830685, 830707, 830729, 830751, 830773, 830794, 830815, 830836, 830857, 830877, 830897, 830917, 830937, 830957, 830977, 830996, 831016, 831035, 831054, 831072, 831091, 831109, 831128, 831146, 831164, 831182, 831199, 831217, 831235, 831301, 831367, 831433, 831498, 831562, 831626, 831690, 831753]"
0,2,deepseek/DeepSeek-R1,14,128,118000000000,118107878973,107878973,433010,2469841,829993,"[828264, 828264, 828264, 828284, 828304, 828323, 828341, 828358, 828374, 828389, 828404, 828418, 828432, 828445, 828457, 828469, 828481, 828493, 828504, 828556, 828607, 828657, 828706, 828753, 828798, 828843, 828886, 828929, 828970, 829010, 829050, 829088, 829126, 829163, 829199, 829234, 829269, 829303, 829336, 829369, 829401, 829433, 829463, 829494, 829524, 829553, 829582, 829610, 829638, 829665, 829693, 829727, 829761, 829794, 829827, 829860, 829892, 829923, 829955, 829985, 830015, 830045, 830075, 830104, 830133, 830161, 830189, 830217, 830244, 830271, 830297, 830324, 830350, 830376, 830401, 830426, 830451, 830476, 830500, 830524, 830548, 830571, 830595, 830618, 830640, 830663, 830685, 830707, 830729, 830751, 830773, 830794, 830815, 830836, 830857, 830877, 830897, 830917, 830937, 830957, 830977, 830996, 831016, 831035, 831054, 831072, 831091, 831109, 831128, 831146, 831164, 831182, 831199, 831217, 831235, 831301, 831367, 831433, 831498, 831562, 831626, 831690, 831753, 831816, 831878, 831940, 832001]"
0,3,deepseek/DeepSeek-R1,17,128,185000000000,185108622509,108622509,878973,3201803,830084,"[828284, 828304, 828323, 828341, 828358, 828374, 828389, 828404, 828418, 828432, 828445, 828457, 828469, 828481, 828493, 828504, 828556, 828607, 828657, 828706, 828753, 828798, 828843, 828886, 828929, 828970, 829010, 829050, 829088, 829126, 829163, 829199, 829234, 829269, 829303, 829336, 829369, 829401, 829433, 829463, 829494, 829524, 829553, 829582, 829610, 829638, 829665, 829693, 829727, 829761, 829794, 829827, 829860, 829892, 829923, 829955, 829985, 830015, 830045, 830075, 830104, 830133, 830161, 830189, 830217, 830244, 830271, 830297, 830324, 830350, 830376, 830401, 830426, 830451, 830476, 830500, 830524, 830548, 830571, 830595, 830618, 830640, 830663, 830685, 830707, 830729, 830751, 830773, 830794, 830815, 830836, 830857, 830877, 830897, 830917, 830937, 830957, 830977, 830996, 831016, 831035, 831054, 831072, 831091, 831109, 831128, 831146, 831164, 831182, 831199, 831217, 831235, 831301, 831367, 831433, 831498, 831562, 831626, 831690, 831753, 831816, 831878, 831940, 832001, 832062, 832122, 832182]"
0,4,deepseek/DeepSeek-R1,6,128,214000000000,214107237607,107237607,622509,1856629,829771,"[828264, 828264, 828264, 828264, 828264, 828264, 828264, 828264, 828264, 828264, 828264, 828284, 828304, 828323, 828341, 828358, 828374, 828389, 828404, 828418, 828432, 828445, 828457, 828469, 828481, 828493, 828504, 828556, 828607, 828657, 828706, 828753, 828798, 828843, 828886, 828929, 828970, 829010, 829050, 829088, 829126, 829163, 829199, 829234, 829269, 829303, 829336, 829369, 829401, 829433, 829463, 829494, 829524, 829553, 829582, 829610, 829638, 829665, 829693, 829727, 829761, 829794, 829827, 829860, 829892, 829923, 829955, 829985, 830015, 830045, 830075, 830104, 830133, 830161, 830189, 830217, 830244, 830271, 830297, 830324, 830350, 830376, 830401, 830426, 830451, 830476, 830500, 830524, 830548, 830571, 830595, 830618, 830640, 830663, 830685, 830707, 830729, 830751, 830773, 830794, 830815, 830836, 830857, 830877, 830897, 830917, 830937, 830957, 830977, 830996, 831016, 831035, 831054, 831072, 831091, 831109, 831128, 831146, 831164, 831182, 831199, 831217, 831235, 831301, 831367, 831433, 831498]"
0,5,deepseek/DeepSeek-R1,24,128,233000000000,233108684896,108684896,237607,3235641,830309,"[828404, 828418, 828432, 828445, 828457, 828469, 828481, 828493, 828504, 828556, 828607, 828657, 828706, 828753, 828798, 828843, 828886, 828929, 828970, 829010, 829050, 829088, 829126, 829163, 829199, 829234, 829269, 829303, 829336, 829369, 829401, 829433, 829463, 829494, 829524, 829553, 829582, 829610, 829638, 829665, 829693, 829727, 829761, 829794, 829827, 829860, 829892, 829923, 829955, 829985, 830015, 830045, 830075, 830104, 830133, 830161, 830189, 830217, 830244, 830271, 830297, 830324, 830350, 830376, 830401, 830426, 830451, 830476, 830500, 830524, 830548, 830571, 830595, 830618, 830640, 830663, 830685, 830707, 830729, 830751, 830773, 830794, 830815, 830836, 830857, 830877, 830897, 830917, 830937, 830957, 830977, 830996, 831016, 831035, 831054, 831072, 831091, 831109, 831128, 831146, 831164, 831182, 831199, 831217, 831235, 831301, 831367, 831433, 831498, 831562, 831626, 831690, 831753, 831816, 831878, 831940, 832001, 832062, 832122, 832182, 832242, 832301, 832360, 832418, 832476, 832534, 832591]"
0,6,deepseek/DeepSeek-R1,14,128,261000000000,261108130859,108130859,684896,2721727,829993,"[828264, 828264, 828264, 828284, 828304, 828323, 828341, 828358, 828374, 828389, 828404, 828418, 828432, 828445, 828457, 828469, 828481, 828493, 828504, 828556, 828607, 828657, 828706, 828753, 828798, 828843, 828886, 828929, 828970, 829010, 829050, 829088, 829126, 829163, 829199, 829234, 829269, 829303, 829336, 829369, 829401, 829433, 829463, 829494, 829524, 829553, 829582, 829610, 829638, 829665, 829693, 829727, 829761, 829794, 829827, 829860, 829892, 829923, 829955, 829985, 830015, 830045, 830075, 830104, 830133, 830161, 830189, 830217, 830244, 830271, 830297, 830324, 830350, 830376, 830401, 830426, 830451, 830476, 830500, 830524, 830548, 830571, 830595, 830618, 830640, 830663, 830685, 830707, 830729, 830751, 830773, 830794, 830815, 830836, 830857, 830877, 830897, 830917, 830937, 830957, 830977, 830996, 831016, 831035, 831054, 831072, 831091, 831109, 831128, 831146, 831164, 831182, 831199, 831217, 831235, 831301, 831367, 831433, 831498, 831562, 831626, 831690, 831753, 831816, 831878, 831940, 832001]"
0,7,deepseek/DeepSeek-R1,13,128,267000000000,267107476393,107476393,130859,2070998,829963,"[828264, 828264, 828264, 828264, 828284, 828304, 828323, 828341, 828358, 828374, 828389, 828404, 828418, 828432, 828445, 828457, 828469, 828481, 828493, 828504, 828556, 828607, 828657, 828706, 828753, 828798, 828843, 828886, 828929, 828970, 829010, 829050, 829088, 829126, 829163, 829199, 829234, 829269, 829303, 829336, 829369, 829401, 829433, 829463, 829494, 829524, 829553, 829582, 829610, 829638, 829665, 829693, 829727, 829761, 829794, 829827, 829860, 829892, 829923, 829955, 829985, 830015, 830045, 830075, 830104, 830133, 830161, 830189, 830217, 830244, 830271, 830297, 830324, 830350, 830376, 830401, 830426, 830451, 830476, 830500, 830524, 830548, 830571, 830595, 830618, 830640, 830663, 830685, 830707, 830729, 830751, 830773, 830794, 830815, 830836, 830857, 830877, 830897, 830917, 830937, 830957, 830977, 830996, 831016, 831035, 831054, 831072, 831091, 831109, 831128, 831146, 831164, 831182, 831199, 831217, 831235, 831301, 831367, 831433, 831498, 831562, 831626, 831690, 831753, 831816, 831878, 831940]"
0,8,deepseek/DeepSeek-R1,38,128,410000000000,410109796832,109796832,476393,4284885,830802,"[828798, 828843, 828886, 828929, 828970, 829010, 829050, 829088, 829126, 829163, 829199, 829234, 829269, 829303, 829336, 829369, 829401, 829433, 829463, 829494, 829524, 829553, 829582, 829610, 829638, 829665, 829693, 829727, 829761, 829794, 829827, 829860, 829892, 829923, 829955, 829985, 830015, 830045, 830075, 830104, 830133, 830161, 830189, 830217, 830244, 830271, 830297, 830324, 830350, 830376, 830401, 830426, 830451, 830476, 830500, 830524, 830548, 830571, 830595, 830618, 830640, 830663, 830685, 830707, 830729, 830751, 830773, 830794, 830815, 830836, 830857, 830877, 830897, 830917, 830937, 830957, 830977, 830996, 831016, 831035, 831054, 831072, 831091, 831109, 831128, 831146, 831164, 831182, 831199, 831217, 831235, 831301, 831367, 831433, 831498, 831562, 831626, 831690, 831753, 831816, 831878, 831940, 832001, 832062, 832122, 832182, 832242, 832301, 832360, 832418, 832476, 832534, 832591, 832648, 832704, 832760, 832816, 832871, 832926, 832981, 833035, 833089, 833143, 833196, 833249, 833302, 833354]"
0,9,deepseek/DeepSeek-R1,5,128,535000000000,535107305535,107305535,796832,1927791,829746,"[828264, 828264, 828264, 828264, 828264, 828264, 828264, 828264, 828264, 828264, 828264, 828264, 828284, 828304, 828323, 828341, 828358, 828374, 828389, 828404, 828418, 828432, 828445, 828457, 828469, 828481, 828493, 828504, 828556, 828607, 828657, 828706, 828753, 828798, 828843, 828886, 828929, 828970, 829010, 829050, 829088, 829126, 829163, 829199, 829234, 829269, 829303, 829336, 829369, 829401, 829433, 829463, 829494, 829524, 829553, 829582, 829610, 829638, 829665, 829693, 829727, 829761, 829794, 829827, 829860, 829892, 829923, 829955, 829985, 830015, 830045, 830075, 830104, 830133, 830161, 830189, 830217, 830244, 830271, 830297, 830324, 830350, 830376, 830401, 830426, 830451, 830476, 830500, 830524, 830548, 830571, 830595, 830618, 830640, 830663, 830685, 830707, 830729, 830751, 830773, 830794, 830815, 830836, 830857, 830877, 830897, 830917, 830937, 830957, 830977, 830996, 831016, 831035, 831054, 831072, 831091, 831109, 831128, 831146, 831164, 831182, 831199, 831217, 831235, 831301, 831367, 831433]"
