instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,deepseek/DeepSeek-R1,134,128,5000000000,5078024836,78024836,0,2255767,596606,"[662032, 594397, 594431, 594465, 594499, 594533, 594566, 594599, 594632, 594665, 594697, 594730, 594762, 594793, 594825, 594856, 594888, 594919, 594949, 594980, 595010, 595040, 595070, 595100, 595130, 595159, 595188, 595217, 595246, 595275, 595303, 595332, 595360, 595388, 595416, 595443, 595471, 595498, 595525, 595552, 595579, 595606, 595632, 595659, 595685, 595711, 595737, 595763, 595789, 595814, 595840, 595865, 595890, 595915, 595940, 595965, 595989, 596014, 596038, 596062, 596086, 596110, 596134, 596158, 596181, 596205, 596228, 596251, 596275, 596298, 596320, 596343, 596366, 596388, 596411, 596433, 596456, 596478, 596500, 596522, 596543, 596565, 596587, 596608, 596630, 596651, 596672, 596693, 596714, 596735, 596756, 596777, 596798, 596818, 596839, 596859, 596879, 596900, 596920, 596940, 596960, 596980, 596999, 597019, 597039, 597058, 597078, 597097, 597116, 597136, 597155, 597174, 597193, 597212, 597231, 597249, 597268, 597287, 597305, 597324, 597342, 597360, 597379, 597392, 597405, 597418, 597432]"
0,1,deepseek/DeepSeek-R1,10,128,45000000000,45076177418,76177418,27842,917193,592600,"[595802, 590752, 590752, 590752, 590752, 590752, 590752, 590751, 590751, 590750, 590750, 590750, 590749, 590749, 590749, 590748, 590748, 590748, 590747, 590747, 590747, 590747, 590747, 590822, 590896, 590967, 591036, 591104, 591169, 591233, 591296, 591356, 591416, 591474, 591530, 591586, 591640, 591693, 591744, 591795, 591845, 591894, 591941, 591988, 592034, 592079, 592124, 592167, 592210, 592252, 592294, 592334, 592374, 592414, 592453, 592490, 592528, 592565, 592601, 592637, 592672, 592706, 592741, 592774, 592808, 592841, 592873, 592905, 592937, 592968, 592998, 593029, 593059, 593089, 593118, 593147, 593175, 593204, 593232, 593259, 593287, 593314, 593340, 593367, 593393, 593419, 593445, 593470, 593495, 593520, 593544, 593569, 593593, 593617, 593640, 593664, 593687, 593710, 593733, 593755, 593778, 593800, 593822, 593844, 593865, 593886, 593908, 593929, 593949, 593970, 593991, 594011, 594031, 594051, 594071, 594090, 594110, 594129, 594149, 594185, 594221, 594256, 594292, 594327, 594362, 594397, 594431]"
0,2,deepseek/DeepSeek-R1,14,128,118000000000,118076554108,76554108,180424,1276808,592734,"[597822, 590752, 590752, 590751, 590751, 590750, 590750, 590750, 590749, 590749, 590749, 590748, 590748, 590748, 590747, 590747, 590747, 590747, 590747, 590822, 590896, 590967, 591036, 591104, 591169, 591233, 591296, 591356, 591416, 591474, 591530, 591586, 591640, 591693, 591744, 591795, 591845, 591894, 591941, 591988, 592034, 592079, 592124, 592167, 592210, 592252, 592294, 592334, 592374, 592414, 592453, 592490, 592528, 592565, 592601, 592637, 592672, 592706, 592741, 592774, 592808, 592841, 592873, 592905, 592937, 592968, 592998, 593029, 593059, 593089, 593118, 593147, 593175, 593204, 593232, 593259, 593287, 593314, 593340, 593367, 593393, 593419, 593445, 593470, 593495, 593520, 593544, 593569, 593593, 593617, 593640, 593664, 593687, 593710, 593733, 593755, 593778, 593800, 593822, 593844, 593865, 593886, 593908, 593929, 593949, 593970, 593991, 594011, 594031, 594051, 594071, 594090, 594110, 594129, 594149, 594185, 594221, 594256, 594292, 594327, 594362, 594397, 594431, 594465, 594499, 594533, 594566]"
0,3,deepseek/DeepSeek-R1,17,128,185000000000,185077093892,77093892,557114,1803438,592838,"[599335, 590751, 590750, 590750, 590750, 590749, 590749, 590749, 590748, 590748, 590748, 590747, 590747, 590747, 590747, 590747, 590822, 590896, 590967, 591036, 591104, 591169, 591233, 591296, 591356, 591416, 591474, 591530, 591586, 591640, 591693, 591744, 591795, 591845, 591894, 591941, 591988, 592034, 592079, 592124, 592167, 592210, 592252, 592294, 592334, 592374, 592414, 592453, 592490, 592528, 592565, 592601, 592637, 592672, 592706, 592741, 592774, 592808, 592841, 592873, 592905, 592937, 592968, 592998, 593029, 593059, 593089, 593118, 593147, 593175, 593204, 593232, 593259, 593287, 593314, 593340, 593367, 593393, 593419, 593445, 593470, 593495, 593520, 593544, 593569, 593593, 593617, 593640, 593664, 593687, 593710, 593733, 593755, 593778, 593800, 593822, 593844, 593865, 593886, 593908, 593929, 593949, 593970, 593991, 594011, 594031, 594051, 594071, 594090, 594110, 594129, 594149, 594185, 594221, 594256, 594292, 594327, 594362, 594397, 594431, 594465, 594499, 594533, 594566, 594599, 594632, 594665]"
0,4,deepseek/DeepSeek-R1,6,128,214000000000,214076031487,76031487,96898,790783,592446,"[590790, 590752, 590752, 590752, 590752, 590752, 590752, 590752, 590752, 590752, 590752, 590751, 590751, 590750, 590750, 590750, 590749, 590749, 590749, 590748, 590748, 590748, 590747, 590747, 590747, 590747, 590747, 590822, 590896, 590967, 591036, 591104, 591169, 591233, 591296, 591356, 591416, 591474, 591530, 591586, 591640, 591693, 591744, 591795, 591845, 591894, 591941, 591988, 592034, 592079, 592124, 592167, 592210, 592252, 592294, 592334, 592374, 592414, 592453, 592490, 592528, 592565, 592601, 592637, 592672, 592706, 592741, 592774, 592808, 592841, 592873, 592905, 592937, 592968, 592998, 593029, 593059, 593089, 593118, 593147, 593175, 593204, 593232, 593259, 593287, 593314, 593340, 593367, 593393, 593419, 593445, 593470, 593495, 593520, 593544, 593569, 593593, 593617, 593640, 593664, 593687, 593710, 593733, 593755, 593778, 593800, 593822, 593844, 593865, 593886, 593908, 593929, 593949, 593970, 593991, 594011, 594031, 594051, 594071, 594090, 594110, 594129, 594149, 594185, 594221, 594256, 594292]"
0,5,deepseek/DeepSeek-R1,24,128,233000000000,233076951062,76951062,34493,1628771,593088,"[602869, 590748, 590748, 590748, 590747, 590747, 590747, 590747, 590747, 590822, 590896, 590967, 591036, 591104, 591169, 591233, 591296, 591356, 591416, 591474, 591530, 591586, 591640, 591693, 591744, 591795, 591845, 591894, 591941, 591988, 592034, 592079, 592124, 592167, 592210, 592252, 592294, 592334, 592374, 592414, 592453, 592490, 592528, 592565, 592601, 592637, 592672, 592706, 592741, 592774, 592808, 592841, 592873, 592905, 592937, 592968, 592998, 593029, 593059, 593089, 593118, 593147, 593175, 593204, 593232, 593259, 593287, 593314, 593340, 593367, 593393, 593419, 593445, 593470, 593495, 593520, 593544, 593569, 593593, 593617, 593640, 593664, 593687, 593710, 593733, 593755, 593778, 593800, 593822, 593844, 593865, 593886, 593908, 593929, 593949, 593970, 593991, 594011, 594031, 594051, 594071, 594090, 594110, 594129, 594149, 594185, 594221, 594256, 594292, 594327, 594362, 594397, 594431, 594465, 594499, 594533, 594566, 594599, 594632, 594665, 594697, 594730, 594762, 594793, 594825, 594856, 594888]"
0,6,deepseek/DeepSeek-R1,14,128,261000000000,261077327752,77327752,954068,2050452,592734,"[597822, 590752, 590752, 590751, 590751, 590750, 590750, 590750, 590749, 590749, 590749, 590748, 590748, 590748, 590747, 590747, 590747, 590747, 590747, 590822, 590896, 590967, 591036, 591104, 591169, 591233, 591296, 591356, 591416, 591474, 591530, 591586, 591640, 591693, 591744, 591795, 591845, 591894, 591941, 591988, 592034, 592079, 592124, 592167, 592210, 592252, 592294, 592334, 592374, 592414, 592453, 592490, 592528, 592565, 592601, 592637, 592672, 592706, 592741, 592774, 592808, 592841, 592873, 592905, 592937, 592968, 592998, 593029, 593059, 593089, 593118, 593147, 593175, 593204, 593232, 593259, 593287, 593314, 593340, 593367, 593393, 593419, 593445, 593470, 593495, 593520, 593544, 593569, 593593, 593617, 593640, 593664, 593687, 593710, 593733, 593755, 593778, 593800, 593822, 593844, 593865, 593886, 593908, 593929, 593949, 593970, 593991, 594011, 594031, 594051, 594071, 594090, 594110, 594129, 594149, 594185, 594221, 594256, 594292, 594327, 594362, 594397, 594431, 594465, 594499, 594533, 594566]"
0,7,deepseek/DeepSeek-R1,13,128,267000000000,267076648757,76648757,330758,1375777,592700,"[597316, 590752, 590752, 590752, 590751, 590751, 590750, 590750, 590750, 590749, 590749, 590749, 590748, 590748, 590748, 590747, 590747, 590747, 590747, 590747, 590822, 590896, 590967, 591036, 591104, 591169, 591233, 591296, 591356, 591416, 591474, 591530, 591586, 591640, 591693, 591744, 591795, 591845, 591894, 591941, 591988, 592034, 592079, 592124, 592167, 592210, 592252, 592294, 592334, 592374, 592414, 592453, 592490, 592528, 592565, 592601, 592637, 592672, 592706, 592741, 592774, 592808, 592841, 592873, 592905, 592937, 592968, 592998, 593029, 593059, 593089, 593118, 593147, 593175, 593204, 593232, 593259, 593287, 593314, 593340, 593367, 593393, 593419, 593445, 593470, 593495, 593520, 593544, 593569, 593593, 593617, 593640, 593664, 593687, 593710, 593733, 593755, 593778, 593800, 593822, 593844, 593865, 593886, 593908, 593929, 593949, 593970, 593991, 594011, 594031, 594051, 594071, 594090, 594110, 594129, 594149, 594185, 594221, 594256, 594292, 594327, 594362, 594397, 594431, 594465, 594499, 594533]"
0,8,deepseek/DeepSeek-R1,38,128,410000000000,410078044123,78044123,651763,2654729,593617,"[610359, 591233, 591296, 591356, 591416, 591474, 591530, 591586, 591640, 591693, 591744, 591795, 591845, 591894, 591941, 591988, 592034, 592079, 592124, 592167, 592210, 592252, 592294, 592334, 592374, 592414, 592453, 592490, 592528, 592565, 592601, 592637, 592672, 592706, 592741, 592774, 592808, 592841, 592873, 592905, 592937, 592968, 592998, 593029, 593059, 593089, 593118, 593147, 593175, 593204, 593232, 593259, 593287, 593314, 593340, 593367, 593393, 593419, 593445, 593470, 593495, 593520, 593544, 593569, 593593, 593617, 593640, 593664, 593687, 593710, 593733, 593755, 593778, 593800, 593822, 593844, 593865, 593886, 593908, 593929, 593949, 593970, 593991, 594011, 594031, 594051, 594071, 594090, 594110, 594129, 594149, 594185, 594221, 594256, 594292, 594327, 594362, 594397, 594431, 594465, 594499, 594533, 594566, 594599, 594632, 594665, 594697, 594730, 594762, 594793, 594825, 594856, 594888, 594919, 594949, 594980, 595010, 595040, 595070, 595100, 595130, 595159, 595188, 595217, 595246, 595275, 595303]"
0,9,deepseek/DeepSeek-R1,5,128,535000000000,535075931017,75931017,47129,693861,592418,"[590782, 590752, 590752, 590752, 590752, 590752, 590752, 590752, 590752, 590752, 590752, 590752, 590751, 590751, 590750, 590750, 590750, 590749, 590749, 590749, 590748, 590748, 590748, 590747, 590747, 590747, 590747, 590747, 590822, 590896, 590967, 591036, 591104, 591169, 591233, 591296, 591356, 591416, 591474, 591530, 591586, 591640, 591693, 591744, 591795, 591845, 591894, 591941, 591988, 592034, 592079, 592124, 592167, 592210, 592252, 592294, 592334, 592374, 592414, 592453, 592490, 592528, 592565, 592601, 592637, 592672, 592706, 592741, 592774, 592808, 592841, 592873, 592905, 592937, 592968, 592998, 593029, 593059, 593089, 593118, 593147, 593175, 593204, 593232, 593259, 593287, 593314, 593340, 593367, 593393, 593419, 593445, 593470, 593495, 593520, 593544, 593569, 593593, 593617, 593640, 593664, 593687, 593710, 593733, 593755, 593778, 593800, 593822, 593844, 593865, 593886, 593908, 593929, 593949, 593970, 593991, 594011, 594031, 594051, 594071, 594090, 594110, 594129, 594149, 594185, 594221, 594256]"
