instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,llama4/Llama-4-Maverick-17B-128E-Instruct,22,128,5000000000,5720591303,720591303,0,10720078,5589537,"[5558567, 5558999, 5559431, 5559815, 5560199, 5560535, 5560919, 5561255, 5561591, 5561879, 5562215, 5562071, 5561975, 5561879, 5561735, 5561639, 5561543, 5561447, 5561351, 5561303, 5561207, 5561111, 5561015, 5560919, 5560871, 5560775, 5560679, 5560631, 5560535, 5560487, 5560391, 5560343, 5560247, 5560199, 5560151, 5560055, 5560007, 5559959, 5559863, 5559815, 5559767, 5559719, 5559671, 5561111, 5562551, 5563943, 5565335, 5566727, 5568071, 5569367, 5570711, 5572007, 5573255, 5574551, 5575751, 5576999, 5578199, 5579399, 5580599, 5581751, 5582903, 5584055, 5585159, 5586263, 5587367, 5588471, 5589527, 5590583, 5591639, 5592695, 5593703, 5594711, 5595719, 5596727, 5597687, 5598647, 5599607, 5600567, 5601527, 5602439, 5603399, 5604311, 5605223, 5606087, 5606999, 5607863, 5608727, 5609591, 5610455, 5611319, 5612135, 5612999, 5613815, 5614631, 5615447, 5616263, 5617031, 5617847, 5618615, 5619431, 5620199, 5620967, 5621687, 5622455, 5623223, 5623943, 5624711, 5625191, 5625671, 5626151, 5626631, 5627111, 5627591, 5628071, 5628551, 5628983, 5629463, 5629943, 5630375, 5630807, 5631287, 5631719, 5632151, 5632583, 5633063, 5633495, 5633927]"
0,1,llama4/Llama-4-Maverick-17B-128E-Instruct,188,128,45000000000,45759408212,759408212,591303,39536523,5668281,"[5649095, 5649431, 5649767, 5650103, 5650439, 5650775, 5651111, 5651399, 5651735, 5652071, 5652407, 5652695, 5653031, 5653367, 5653655, 5653991, 5654279, 5654615, 5654903, 5655191, 5655527, 5655815, 5656103, 5656439, 5656727, 5657015, 5657303, 5657639, 5657927, 5658215, 5658503, 5658791, 5659079, 5659367, 5659655, 5659943, 5660231, 5660519, 5660807, 5661047, 5661335, 5661623, 5661911, 5662199, 5662439, 5662727, 5663015, 5663255, 5663543, 5663783, 5664071, 5664359, 5664599, 5664887, 5665127, 5665415, 5665655, 5665895, 5666183, 5666423, 5666663, 5666951, 5667191, 5667431, 5667719, 5667959, 5668199, 5668439, 5668727, 5669063, 5669447, 5669783, 5670167, 5670551, 5670887, 5671271, 5671607, 5671991, 5672327, 5672663, 5673047, 5673383, 5673719, 5674103, 5674439, 5674775, 5675111, 5675447, 5675831, 5676167, 5676503, 5676839, 5677175, 5677511, 5677847, 5678183, 5678519, 5678855, 5679191, 5679527, 5679815, 5680151, 5680487, 5680823, 5681159, 5681447, 5681783, 5682119, 5682407, 5682743, 5683079, 5683367, 5683703, 5683991, 5684327, 5684615, 5684951, 5685239, 5685575, 5685863, 5686199, 5686487, 5686775, 5687111, 5687399, 5687687, 5688023]"
0,2,llama4/Llama-4-Maverick-17B-128E-Instruct,21,128,118000000000,118720667899,720667899,408212,10872466,5588940,"[5558135, 5558567, 5558999, 5559431, 5559815, 5560199, 5560535, 5560919, 5561255, 5561591, 5561879, 5562215, 5562071, 5561975, 5561879, 5561735, 5561639, 5561543, 5561447, 5561351, 5561303, 5561207, 5561111, 5561015, 5560919, 5560871, 5560775, 5560679, 5560631, 5560535, 5560487, 5560391, 5560343, 5560247, 5560199, 5560151, 5560055, 5560007, 5559959, 5559863, 5559815, 5559767, 5559719, 5559671, 5561111, 5562551, 5563943, 5565335, 5566727, 5568071, 5569367, 5570711, 5572007, 5573255, 5574551, 5575751, 5576999, 5578199, 5579399, 5580599, 5581751, 5582903, 5584055, 5585159, 5586263, 5587367, 5588471, 5589527, 5590583, 5591639, 5592695, 5593703, 5594711, 5595719, 5596727, 5597687, 5598647, 5599607, 5600567, 5601527, 5602439, 5603399, 5604311, 5605223, 5606087, 5606999, 5607863, 5608727, 5609591, 5610455, 5611319, 5612135, 5612999, 5613815, 5614631, 5615447, 5616263, 5617031, 5617847, 5618615, 5619431, 5620199, 5620967, 5621687, 5622455, 5623223, 5623943, 5624711, 5625191, 5625671, 5626151, 5626631, 5627111, 5627591, 5628071, 5628551, 5628983, 5629463, 5629943, 5630375, 5630807, 5631287, 5631719, 5632151, 5632583, 5633063, 5633495]"
0,3,llama4/Llama-4-Maverick-17B-128E-Instruct,130,128,185000000000,185756393678,756393678,667899,38897077,5649579,"[5625671, 5626151, 5626631, 5627111, 5627591, 5628071, 5628551, 5628983, 5629463, 5629943, 5630375, 5630807, 5631287, 5631719, 5632151, 5632583, 5633063, 5633495, 5633927, 5634311, 5634743, 5635175, 5635607, 5636039, 5636423, 5636855, 5637239, 5637671, 5638055, 5638439, 5638871, 5639255, 5639639, 5640023, 5640407, 5640791, 5641175, 5641559, 5641943, 5642327, 5642711, 5643095, 5643431, 5643815, 5644199, 5644535, 5644919, 5645255, 5645639, 5645975, 5646359, 5646695, 5647031, 5647367, 5647751, 5648087, 5648423, 5648759, 5649095, 5649431, 5649767, 5650103, 5650439, 5650775, 5651111, 5651399, 5651735, 5652071, 5652407, 5652695, 5653031, 5653367, 5653655, 5653991, 5654279, 5654615, 5654903, 5655191, 5655527, 5655815, 5656103, 5656439, 5656727, 5657015, 5657303, 5657639, 5657927, 5658215, 5658503, 5658791, 5659079, 5659367, 5659655, 5659943, 5660231, 5660519, 5660807, 5661047, 5661335, 5661623, 5661911, 5662199, 5662439, 5662727, 5663015, 5663255, 5663543, 5663783, 5664071, 5664359, 5664599, 5664887, 5665127, 5665415, 5665655, 5665895, 5666183, 5666423, 5666663, 5666951, 5667191, 5667431, 5667719, 5667959, 5668199, 5668439, 5668727]"
0,4,llama4/Llama-4-Maverick-17B-128E-Instruct,11,128,214000000000,214717285096,717285096,393678,8243695,5583003,"[5555543, 5555543, 5555543, 5555543, 5555543, 5555543, 5556119, 5556647, 5557175, 5557655, 5558135, 5558567, 5558999, 5559431, 5559815, 5560199, 5560535, 5560919, 5561255, 5561591, 5561879, 5562215, 5562071, 5561975, 5561879, 5561735, 5561639, 5561543, 5561447, 5561351, 5561303, 5561207, 5561111, 5561015, 5560919, 5560871, 5560775, 5560679, 5560631, 5560535, 5560487, 5560391, 5560343, 5560247, 5560199, 5560151, 5560055, 5560007, 5559959, 5559863, 5559815, 5559767, 5559719, 5559671, 5561111, 5562551, 5563943, 5565335, 5566727, 5568071, 5569367, 5570711, 5572007, 5573255, 5574551, 5575751, 5576999, 5578199, 5579399, 5580599, 5581751, 5582903, 5584055, 5585159, 5586263, 5587367, 5588471, 5589527, 5590583, 5591639, 5592695, 5593703, 5594711, 5595719, 5596727, 5597687, 5598647, 5599607, 5600567, 5601527, 5602439, 5603399, 5604311, 5605223, 5606087, 5606999, 5607863, 5608727, 5609591, 5610455, 5611319, 5612135, 5612999, 5613815, 5614631, 5615447, 5616263, 5617031, 5617847, 5618615, 5619431, 5620199, 5620967, 5621687, 5622455, 5623223, 5623943, 5624711, 5625191, 5625671, 5626151, 5626631, 5627111, 5627591, 5628071, 5628551, 5628983]"
0,5,llama4/Llama-4-Maverick-17B-128E-Instruct,5,128,233000000000,233715235754,715235754,285096,6628033,5579588,"[5555543, 5555543, 5555543, 5555543, 5555543, 5555543, 5555543, 5555543, 5555543, 5555543, 5555543, 5555543, 5556119, 5556647, 5557175, 5557655, 5558135, 5558567, 5558999, 5559431, 5559815, 5560199, 5560535, 5560919, 5561255, 5561591, 5561879, 5562215, 5562071, 5561975, 5561879, 5561735, 5561639, 5561543, 5561447, 5561351, 5561303, 5561207, 5561111, 5561015, 5560919, 5560871, 5560775, 5560679, 5560631, 5560535, 5560487, 5560391, 5560343, 5560247, 5560199, 5560151, 5560055, 5560007, 5559959, 5559863, 5559815, 5559767, 5559719, 5559671, 5561111, 5562551, 5563943, 5565335, 5566727, 5568071, 5569367, 5570711, 5572007, 5573255, 5574551, 5575751, 5576999, 5578199, 5579399, 5580599, 5581751, 5582903, 5584055, 5585159, 5586263, 5587367, 5588471, 5589527, 5590583, 5591639, 5592695, 5593703, 5594711, 5595719, 5596727, 5597687, 5598647, 5599607, 5600567, 5601527, 5602439, 5603399, 5604311, 5605223, 5606087, 5606999, 5607863, 5608727, 5609591, 5610455, 5611319, 5612135, 5612999, 5613815, 5614631, 5615447, 5616263, 5617031, 5617847, 5618615, 5619431, 5620199, 5620967, 5621687, 5622455, 5623223, 5623943, 5624711, 5625191, 5625671, 5626151]"
0,6,llama4/Llama-4-Maverick-17B-128E-Instruct,8,128,261000000000,261716233109,716233109,235754,7410684,5581278,"[5555543, 5555543, 5555543, 5555543, 5555543, 5555543, 5555543, 5555543, 5555543, 5556119, 5556647, 5557175, 5557655, 5558135, 5558567, 5558999, 5559431, 5559815, 5560199, 5560535, 5560919, 5561255, 5561591, 5561879, 5562215, 5562071, 5561975, 5561879, 5561735, 5561639, 5561543, 5561447, 5561351, 5561303, 5561207, 5561111, 5561015, 5560919, 5560871, 5560775, 5560679, 5560631, 5560535, 5560487, 5560391, 5560343, 5560247, 5560199, 5560151, 5560055, 5560007, 5559959, 5559863, 5559815, 5559767, 5559719, 5559671, 5561111, 5562551, 5563943, 5565335, 5566727, 5568071, 5569367, 5570711, 5572007, 5573255, 5574551, 5575751, 5576999, 5578199, 5579399, 5580599, 5581751, 5582903, 5584055, 5585159, 5586263, 5587367, 5588471, 5589527, 5590583, 5591639, 5592695, 5593703, 5594711, 5595719, 5596727, 5597687, 5598647, 5599607, 5600567, 5601527, 5602439, 5603399, 5604311, 5605223, 5606087, 5606999, 5607863, 5608727, 5609591, 5610455, 5611319, 5612135, 5612999, 5613815, 5614631, 5615447, 5616263, 5617031, 5617847, 5618615, 5619431, 5620199, 5620967, 5621687, 5622455, 5623223, 5623943, 5624711, 5625191, 5625671, 5626151, 5626631, 5627111, 5627591]"
0,7,llama4/Llama-4-Maverick-17B-128E-Instruct,25,128,267000000000,267721829623,721829623,233109,11731166,5591326,"[5559815, 5560199, 5560535, 5560919, 5561255, 5561591, 5561879, 5562215, 5562071, 5561975, 5561879, 5561735, 5561639, 5561543, 5561447, 5561351, 5561303, 5561207, 5561111, 5561015, 5560919, 5560871, 5560775, 5560679, 5560631, 5560535, 5560487, 5560391, 5560343, 5560247, 5560199, 5560151, 5560055, 5560007, 5559959, 5559863, 5559815, 5559767, 5559719, 5559671, 5561111, 5562551, 5563943, 5565335, 5566727, 5568071, 5569367, 5570711, 5572007, 5573255, 5574551, 5575751, 5576999, 5578199, 5579399, 5580599, 5581751, 5582903, 5584055, 5585159, 5586263, 5587367, 5588471, 5589527, 5590583, 5591639, 5592695, 5593703, 5594711, 5595719, 5596727, 5597687, 5598647, 5599607, 5600567, 5601527, 5602439, 5603399, 5604311, 5605223, 5606087, 5606999, 5607863, 5608727, 5609591, 5610455, 5611319, 5612135, 5612999, 5613815, 5614631, 5615447, 5616263, 5617031, 5617847, 5618615, 5619431, 5620199, 5620967, 5621687, 5622455, 5623223, 5623943, 5624711, 5625191, 5625671, 5626151, 5626631, 5627111, 5627591, 5628071, 5628551, 5628983, 5629463, 5629943, 5630375, 5630807, 5631287, 5631719, 5632151, 5632583, 5633063, 5633495, 5633927, 5634311, 5634743, 5635175]"
0,8,llama4/Llama-4-Maverick-17B-128E-Instruct,163,128,410000000000,410758434977,758434977,829623,39558376,5660445,"[5640023, 5640407, 5640791, 5641175, 5641559, 5641943, 5642327, 5642711, 5643095, 5643431, 5643815, 5644199, 5644535, 5644919, 5645255, 5645639, 5645975, 5646359, 5646695, 5647031, 5647367, 5647751, 5648087, 5648423, 5648759, 5649095, 5649431, 5649767, 5650103, 5650439, 5650775, 5651111, 5651399, 5651735, 5652071, 5652407, 5652695, 5653031, 5653367, 5653655, 5653991, 5654279, 5654615, 5654903, 5655191, 5655527, 5655815, 5656103, 5656439, 5656727, 5657015, 5657303, 5657639, 5657927, 5658215, 5658503, 5658791, 5659079, 5659367, 5659655, 5659943, 5660231, 5660519, 5660807, 5661047, 5661335, 5661623, 5661911, 5662199, 5662439, 5662727, 5663015, 5663255, 5663543, 5663783, 5664071, 5664359, 5664599, 5664887, 5665127, 5665415, 5665655, 5665895, 5666183, 5666423, 5666663, 5666951, 5667191, 5667431, 5667719, 5667959, 5668199, 5668439, 5668727, 5669063, 5669447, 5669783, 5670167, 5670551, 5670887, 5671271, 5671607, 5671991, 5672327, 5672663, 5673047, 5673383, 5673719, 5674103, 5674439, 5674775, 5675111, 5675447, 5675831, 5676167, 5676503, 5676839, 5677175, 5677511, 5677847, 5678183, 5678519, 5678855, 5679191, 5679527, 5679815, 5680151]"
0,9,llama4/Llama-4-Maverick-17B-128E-Instruct,13,128,535000000000,535717997322,717997322,434977,8807601,5584171,"[5555543, 5555543, 5555543, 5555543, 5556119, 5556647, 5557175, 5557655, 5558135, 5558567, 5558999, 5559431, 5559815, 5560199, 5560535, 5560919, 5561255, 5561591, 5561879, 5562215, 5562071, 5561975, 5561879, 5561735, 5561639, 5561543, 5561447, 5561351, 5561303, 5561207, 5561111, 5561015, 5560919, 5560871, 5560775, 5560679, 5560631, 5560535, 5560487, 5560391, 5560343, 5560247, 5560199, 5560151, 5560055, 5560007, 5559959, 5559863, 5559815, 5559767, 5559719, 5559671, 5561111, 5562551, 5563943, 5565335, 5566727, 5568071, 5569367, 5570711, 5572007, 5573255, 5574551, 5575751, 5576999, 5578199, 5579399, 5580599, 5581751, 5582903, 5584055, 5585159, 5586263, 5587367, 5588471, 5589527, 5590583, 5591639, 5592695, 5593703, 5594711, 5595719, 5596727, 5597687, 5598647, 5599607, 5600567, 5601527, 5602439, 5603399, 5604311, 5605223, 5606087, 5606999, 5607863, 5608727, 5609591, 5610455, 5611319, 5612135, 5612999, 5613815, 5614631, 5615447, 5616263, 5617031, 5617847, 5618615, 5619431, 5620199, 5620967, 5621687, 5622455, 5623223, 5623943, 5624711, 5625191, 5625671, 5626151, 5626631, 5627111, 5627591, 5628071, 5628551, 5628983, 5629463, 5629943]"
