instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,llama4/Llama-4-Maverick-17B-128E-Instruct,22,128,5000000000,5826985561,826985561,0,11938396,6417694,"[6386467, 6386227, 6385987, 6385747, 6385507, 6385267, 6385075, 6384883, 6384643, 6384451, 6384307, 6384691, 6385123, 6385555, 6385939, 6386323, 6386707, 6387043, 6387427, 6387763, 6388099, 6388435, 6388723, 6389059, 6389347, 6389683, 6389971, 6390259, 6390547, 6390787, 6391075, 6391363, 6391603, 6391843, 6392131, 6392371, 6392611, 6392851, 6393091, 6393331, 6393523, 6393763, 6394003, 6395203, 6396451, 6397651, 6398803, 6400003, 6401107, 6402259, 6403363, 6404467, 6405571, 6406627, 6407683, 6408739, 6409747, 6410755, 6411763, 6412771, 6413731, 6414739, 6415651, 6416611, 6417571, 6418483, 6419395, 6420307, 6421171, 6422035, 6422947, 6423811, 6424627, 6425491, 6426307, 6427171, 6427987, 6428803, 6429571, 6430387, 6431155, 6431923, 6432691, 6433459, 6434227, 6434995, 6435715, 6436435, 6437203, 6437923, 6438643, 6439315, 6440035, 6440755, 6441427, 6442099, 6442771, 6443443, 6444115, 6444787, 6445459, 6446083, 6446755, 6447379, 6448003, 6448627, 6449299, 6449923, 6450595, 6451267, 6451891, 6452563, 6453187, 6453859, 6454483, 6455107, 6455731, 6456355, 6456931, 6457555, 6458179, 6458755, 6459379, 6459955, 6460531, 6461107, 6461731]"
0,1,llama4/Llama-4-Maverick-17B-128E-Instruct,188,128,45000000000,45860142943,860142943,985561,33941346,6505524,"[6482227, 6482659, 6483091, 6483571, 6484003, 6484435, 6484915, 6485347, 6485779, 6486211, 6486643, 6487075, 6487507, 6487939, 6488371, 6488803, 6489187, 6489619, 6490051, 6490435, 6490867, 6491299, 6491683, 6492067, 6492499, 6492883, 6493315, 6493699, 6494083, 6494515, 6494899, 6495283, 6495667, 6496051, 6496435, 6496819, 6497203, 6497587, 6497971, 6498355, 6498739, 6499123, 6499459, 6499843, 6500227, 6500563, 6500947, 6501331, 6501667, 6502051, 6502387, 6502771, 6503107, 6503491, 6503827, 6504163, 6504547, 6504883, 6505219, 6505603, 6505939, 6506275, 6506611, 6506947, 6507283, 6507619, 6508003, 6508339, 6508675, 6508963, 6509251, 6509539, 6509827, 6510115, 6510403, 6510691, 6510979, 6511267, 6511555, 6511843, 6512083, 6512371, 6512659, 6512947, 6513235, 6513475, 6513763, 6514051, 6514339, 6514579, 6514867, 6515155, 6515395, 6515683, 6515923, 6516211, 6516451, 6516739, 6516979, 6517267, 6517507, 6517795, 6518035, 6518323, 6518563, 6518803, 6519091, 6519331, 6519571, 6519859, 6520099, 6520339, 6520579, 6520867, 6521107, 6521347, 6521587, 6521827, 6522115, 6522355, 6522595, 6522835, 6523075, 6523315, 6523555, 6523795, 6524035]"
0,2,llama4/Llama-4-Maverick-17B-128E-Instruct,21,128,118000000000,118826746379,826746379,142943,11774190,6417103,"[6386755, 6386467, 6386227, 6385987, 6385747, 6385507, 6385267, 6385075, 6384883, 6384643, 6384451, 6384307, 6384691, 6385123, 6385555, 6385939, 6386323, 6386707, 6387043, 6387427, 6387763, 6388099, 6388435, 6388723, 6389059, 6389347, 6389683, 6389971, 6390259, 6390547, 6390787, 6391075, 6391363, 6391603, 6391843, 6392131, 6392371, 6392611, 6392851, 6393091, 6393331, 6393523, 6393763, 6394003, 6395203, 6396451, 6397651, 6398803, 6400003, 6401107, 6402259, 6403363, 6404467, 6405571, 6406627, 6407683, 6408739, 6409747, 6410755, 6411763, 6412771, 6413731, 6414739, 6415651, 6416611, 6417571, 6418483, 6419395, 6420307, 6421171, 6422035, 6422947, 6423811, 6424627, 6425491, 6426307, 6427171, 6427987, 6428803, 6429571, 6430387, 6431155, 6431923, 6432691, 6433459, 6434227, 6434995, 6435715, 6436435, 6437203, 6437923, 6438643, 6439315, 6440035, 6440755, 6441427, 6442099, 6442771, 6443443, 6444115, 6444787, 6445459, 6446083, 6446755, 6447379, 6448003, 6448627, 6449299, 6449923, 6450595, 6451267, 6451891, 6452563, 6453187, 6453859, 6454483, 6455107, 6455731, 6456355, 6456931, 6457555, 6458179, 6458755, 6459379, 6459955, 6460531, 6461107]"
0,3,llama4/Llama-4-Maverick-17B-128E-Instruct,130,128,185000000000,185854131090,854131090,746379,30808485,6482855,"[6450595, 6451267, 6451891, 6452563, 6453187, 6453859, 6454483, 6455107, 6455731, 6456355, 6456931, 6457555, 6458179, 6458755, 6459379, 6459955, 6460531, 6461107, 6461731, 6462307, 6462883, 6463411, 6463987, 6464563, 6465139, 6465667, 6466243, 6466771, 6467299, 6467875, 6468403, 6468931, 6469459, 6469987, 6470515, 6471043, 6471523, 6472051, 6472579, 6473059, 6473587, 6474067, 6474595, 6475075, 6475555, 6476083, 6476563, 6477043, 6477523, 6478003, 6478483, 6478963, 6479443, 6479875, 6480355, 6480835, 6481267, 6481747, 6482227, 6482659, 6483091, 6483571, 6484003, 6484435, 6484915, 6485347, 6485779, 6486211, 6486643, 6487075, 6487507, 6487939, 6488371, 6488803, 6489187, 6489619, 6490051, 6490435, 6490867, 6491299, 6491683, 6492067, 6492499, 6492883, 6493315, 6493699, 6494083, 6494515, 6494899, 6495283, 6495667, 6496051, 6496435, 6496819, 6497203, 6497587, 6497971, 6498355, 6498739, 6499123, 6499459, 6499843, 6500227, 6500563, 6500947, 6501331, 6501667, 6502051, 6502387, 6502771, 6503107, 6503491, 6503827, 6504163, 6504547, 6504883, 6505219, 6505603, 6505939, 6506275, 6506611, 6506947, 6507283, 6507619, 6508003, 6508339, 6508675]"
0,4,llama4/Llama-4-Maverick-17B-128E-Instruct,11,128,214000000000,214824491088,824491088,131090,10223011,6411559,"[6388387, 6388387, 6388387, 6388387, 6388387, 6388387, 6388003, 6387667, 6387331, 6387043, 6386755, 6386467, 6386227, 6385987, 6385747, 6385507, 6385267, 6385075, 6384883, 6384643, 6384451, 6384307, 6384691, 6385123, 6385555, 6385939, 6386323, 6386707, 6387043, 6387427, 6387763, 6388099, 6388435, 6388723, 6389059, 6389347, 6389683, 6389971, 6390259, 6390547, 6390787, 6391075, 6391363, 6391603, 6391843, 6392131, 6392371, 6392611, 6392851, 6393091, 6393331, 6393523, 6393763, 6394003, 6395203, 6396451, 6397651, 6398803, 6400003, 6401107, 6402259, 6403363, 6404467, 6405571, 6406627, 6407683, 6408739, 6409747, 6410755, 6411763, 6412771, 6413731, 6414739, 6415651, 6416611, 6417571, 6418483, 6419395, 6420307, 6421171, 6422035, 6422947, 6423811, 6424627, 6425491, 6426307, 6427171, 6427987, 6428803, 6429571, 6430387, 6431155, 6431923, 6432691, 6433459, 6434227, 6434995, 6435715, 6436435, 6437203, 6437923, 6438643, 6439315, 6440035, 6440755, 6441427, 6442099, 6442771, 6443443, 6444115, 6444787, 6445459, 6446083, 6446755, 6447379, 6448003, 6448627, 6449299, 6449923, 6450595, 6451267, 6451891, 6452563, 6453187, 6453859, 6454483, 6455107]"
0,5,llama4/Llama-4-Maverick-17B-128E-Instruct,5,128,233000000000,233823171460,823171460,491088,9294151,6408482,"[6388387, 6388387, 6388387, 6388387, 6388387, 6388387, 6388387, 6388387, 6388387, 6388387, 6388387, 6388387, 6388003, 6387667, 6387331, 6387043, 6386755, 6386467, 6386227, 6385987, 6385747, 6385507, 6385267, 6385075, 6384883, 6384643, 6384451, 6384307, 6384691, 6385123, 6385555, 6385939, 6386323, 6386707, 6387043, 6387427, 6387763, 6388099, 6388435, 6388723, 6389059, 6389347, 6389683, 6389971, 6390259, 6390547, 6390787, 6391075, 6391363, 6391603, 6391843, 6392131, 6392371, 6392611, 6392851, 6393091, 6393331, 6393523, 6393763, 6394003, 6395203, 6396451, 6397651, 6398803, 6400003, 6401107, 6402259, 6403363, 6404467, 6405571, 6406627, 6407683, 6408739, 6409747, 6410755, 6411763, 6412771, 6413731, 6414739, 6415651, 6416611, 6417571, 6418483, 6419395, 6420307, 6421171, 6422035, 6422947, 6423811, 6424627, 6425491, 6426307, 6427171, 6427987, 6428803, 6429571, 6430387, 6431155, 6431923, 6432691, 6433459, 6434227, 6434995, 6435715, 6436435, 6437203, 6437923, 6438643, 6439315, 6440035, 6440755, 6441427, 6442099, 6442771, 6443443, 6444115, 6444787, 6445459, 6446083, 6446755, 6447379, 6448003, 6448627, 6449299, 6449923, 6450595, 6451267]"
0,6,llama4/Llama-4-Maverick-17B-128E-Instruct,8,128,261000000000,261823598951,823598951,171460,9529162,6409998,"[6388387, 6388387, 6388387, 6388387, 6388387, 6388387, 6388387, 6388387, 6388387, 6388003, 6387667, 6387331, 6387043, 6386755, 6386467, 6386227, 6385987, 6385747, 6385507, 6385267, 6385075, 6384883, 6384643, 6384451, 6384307, 6384691, 6385123, 6385555, 6385939, 6386323, 6386707, 6387043, 6387427, 6387763, 6388099, 6388435, 6388723, 6389059, 6389347, 6389683, 6389971, 6390259, 6390547, 6390787, 6391075, 6391363, 6391603, 6391843, 6392131, 6392371, 6392611, 6392851, 6393091, 6393331, 6393523, 6393763, 6394003, 6395203, 6396451, 6397651, 6398803, 6400003, 6401107, 6402259, 6403363, 6404467, 6405571, 6406627, 6407683, 6408739, 6409747, 6410755, 6411763, 6412771, 6413731, 6414739, 6415651, 6416611, 6417571, 6418483, 6419395, 6420307, 6421171, 6422035, 6422947, 6423811, 6424627, 6425491, 6426307, 6427171, 6427987, 6428803, 6429571, 6430387, 6431155, 6431923, 6432691, 6433459, 6434227, 6434995, 6435715, 6436435, 6437203, 6437923, 6438643, 6439315, 6440035, 6440755, 6441427, 6442099, 6442771, 6443443, 6444115, 6444787, 6445459, 6446083, 6446755, 6447379, 6448003, 6448627, 6449299, 6449923, 6450595, 6451267, 6451891, 6452563, 6453187]"
0,7,llama4/Llama-4-Maverick-17B-128E-Instruct,25,128,267000000000,267828210220,828210220,598951,12933135,6419504,"[6385747, 6385507, 6385267, 6385075, 6384883, 6384643, 6384451, 6384307, 6384691, 6385123, 6385555, 6385939, 6386323, 6386707, 6387043, 6387427, 6387763, 6388099, 6388435, 6388723, 6389059, 6389347, 6389683, 6389971, 6390259, 6390547, 6390787, 6391075, 6391363, 6391603, 6391843, 6392131, 6392371, 6392611, 6392851, 6393091, 6393331, 6393523, 6393763, 6394003, 6395203, 6396451, 6397651, 6398803, 6400003, 6401107, 6402259, 6403363, 6404467, 6405571, 6406627, 6407683, 6408739, 6409747, 6410755, 6411763, 6412771, 6413731, 6414739, 6415651, 6416611, 6417571, 6418483, 6419395, 6420307, 6421171, 6422035, 6422947, 6423811, 6424627, 6425491, 6426307, 6427171, 6427987, 6428803, 6429571, 6430387, 6431155, 6431923, 6432691, 6433459, 6434227, 6434995, 6435715, 6436435, 6437203, 6437923, 6438643, 6439315, 6440035, 6440755, 6441427, 6442099, 6442771, 6443443, 6444115, 6444787, 6445459, 6446083, 6446755, 6447379, 6448003, 6448627, 6449299, 6449923, 6450595, 6451267, 6451891, 6452563, 6453187, 6453859, 6454483, 6455107, 6455731, 6456355, 6456931, 6457555, 6458179, 6458755, 6459379, 6459955, 6460531, 6461107, 6461731, 6462307, 6462883, 6463411]"
0,8,llama4/Llama-4-Maverick-17B-128E-Instruct,163,128,410000000000,410857060162,857060162,210220,31985749,6496648,"[6469987, 6470515, 6471043, 6471523, 6472051, 6472579, 6473059, 6473587, 6474067, 6474595, 6475075, 6475555, 6476083, 6476563, 6477043, 6477523, 6478003, 6478483, 6478963, 6479443, 6479875, 6480355, 6480835, 6481267, 6481747, 6482227, 6482659, 6483091, 6483571, 6484003, 6484435, 6484915, 6485347, 6485779, 6486211, 6486643, 6487075, 6487507, 6487939, 6488371, 6488803, 6489187, 6489619, 6490051, 6490435, 6490867, 6491299, 6491683, 6492067, 6492499, 6492883, 6493315, 6493699, 6494083, 6494515, 6494899, 6495283, 6495667, 6496051, 6496435, 6496819, 6497203, 6497587, 6497971, 6498355, 6498739, 6499123, 6499459, 6499843, 6500227, 6500563, 6500947, 6501331, 6501667, 6502051, 6502387, 6502771, 6503107, 6503491, 6503827, 6504163, 6504547, 6504883, 6505219, 6505603, 6505939, 6506275, 6506611, 6506947, 6507283, 6507619, 6508003, 6508339, 6508675, 6508963, 6509251, 6509539, 6509827, 6510115, 6510403, 6510691, 6510979, 6511267, 6511555, 6511843, 6512083, 6512371, 6512659, 6512947, 6513235, 6513475, 6513763, 6514051, 6514339, 6514579, 6514867, 6515155, 6515395, 6515683, 6515923, 6516211, 6516451, 6516739, 6516979, 6517267, 6517507, 6517795]"
0,9,llama4/Llama-4-Maverick-17B-128E-Instruct,13,128,535000000000,535824632532,824632532,60162,10229143,6412625,"[6388387, 6388387, 6388387, 6388387, 6388003, 6387667, 6387331, 6387043, 6386755, 6386467, 6386227, 6385987, 6385747, 6385507, 6385267, 6385075, 6384883, 6384643, 6384451, 6384307, 6384691, 6385123, 6385555, 6385939, 6386323, 6386707, 6387043, 6387427, 6387763, 6388099, 6388435, 6388723, 6389059, 6389347, 6389683, 6389971, 6390259, 6390547, 6390787, 6391075, 6391363, 6391603, 6391843, 6392131, 6392371, 6392611, 6392851, 6393091, 6393331, 6393523, 6393763, 6394003, 6395203, 6396451, 6397651, 6398803, 6400003, 6401107, 6402259, 6403363, 6404467, 6405571, 6406627, 6407683, 6408739, 6409747, 6410755, 6411763, 6412771, 6413731, 6414739, 6415651, 6416611, 6417571, 6418483, 6419395, 6420307, 6421171, 6422035, 6422947, 6423811, 6424627, 6425491, 6426307, 6427171, 6427987, 6428803, 6429571, 6430387, 6431155, 6431923, 6432691, 6433459, 6434227, 6434995, 6435715, 6436435, 6437203, 6437923, 6438643, 6439315, 6440035, 6440755, 6441427, 6442099, 6442771, 6443443, 6444115, 6444787, 6445459, 6446083, 6446755, 6447379, 6448003, 6448627, 6449299, 6449923, 6450595, 6451267, 6451891, 6452563, 6453187, 6453859, 6454483, 6455107, 6455731, 6456355]"
