instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,llama4/Llama-4-Maverick-17B-128E-Instruct,22,128,5000000000,5900198926,900198926,0,9247247,7015367,"[6986418, 6976186, 6976426, 6976714, 6976781, 6977021, 6977261, 6977453, 6977645, 6977885, 6978077, 6977693, 6977357, 6977069, 6976733, 6976445, 6976157, 6975869, 6975581, 6975293, 6975005, 6974765, 6974525, 6974237, 6973997, 6973757, 6973517, 6973325, 6973085, 6972845, 6972653, 6972413, 6972221, 6972029, 6971837, 6971597, 6971405, 6971213, 6971021, 6970877, 6970685, 6970493, 6970349, 6972509, 6974621, 6976733, 6978845, 6980861, 6982925, 6984893, 6986861, 6988781, 6990701, 6992573, 6994445, 6996269, 6998093, 6999869, 7001645, 7003373, 7005101, 7006829, 7008509, 7010141, 7011821, 7013405, 7015037, 7016621, 7018157, 7019741, 7021277, 7022765, 7024301, 7025789, 7027229, 7028717, 7030157, 7031549, 7032989, 7034381, 7035773, 7037117, 7038461, 7039805, 7041149, 7042445, 7043789, 7045085, 7046333, 7047629, 7048877, 7050125, 7051373, 7052573, 7053821, 7055021, 7056221, 7057373, 7058573, 7059725, 7060877, 7062029, 7063181, 7064285, 7065389, 7066541, 7067645, 7067933, 7068269, 7068605, 7068893, 7069229, 7069565, 7069853, 7070189, 7070477, 7070765, 7071101, 7071389, 7071677, 7071965, 7072301, 7072589, 7072877, 7073165, 7073453, 7073741]"
0,1,llama4/Llama-4-Maverick-17B-128E-Instruct,188,128,45000000000,45915870058,915870058,198926,13803611,7102885,"[7177586, 7084138, 7084330, 7084570, 7084685, 7084877, 7085117, 7085309, 7085549, 7085741, 7085981, 7086173, 7086365, 7086605, 7086797, 7086989, 7087229, 7087421, 7087613, 7087805, 7088045, 7088237, 7088429, 7088621, 7088813, 7089005, 7089245, 7089437, 7089629, 7089821, 7090013, 7090205, 7090397, 7090589, 7090781, 7090973, 7091165, 7091309, 7091501, 7091693, 7091885, 7092077, 7092269, 7092461, 7092605, 7092797, 7092989, 7093181, 7093325, 7093517, 7093709, 7093853, 7094045, 7094237, 7094381, 7094573, 7094717, 7094909, 7095101, 7095245, 7095437, 7095581, 7095773, 7095917, 7096109, 7096253, 7096445, 7096589, 7096781, 7097453, 7098125, 7098845, 7099517, 7100189, 7100861, 7101581, 7102253, 7102925, 7103597, 7104269, 7104893, 7105565, 7106237, 7106909, 7107533, 7108205, 7108877, 7109501, 7110173, 7110797, 7111421, 7112093, 7112717, 7113341, 7113965, 7114637, 7115261, 7115885, 7116509, 7117133, 7117757, 7118333, 7118957, 7119581, 7120205, 7120781, 7121405, 7122029, 7122605, 7123229, 7123805, 7124429, 7125005, 7125581, 7126205, 7126781, 7127357, 7127933, 7128557, 7129133, 7129709, 7130285, 7130861, 7131437, 7132013, 7132541, 7133117]"
0,2,llama4/Llama-4-Maverick-17B-128E-Instruct,21,128,118000000000,118900958424,900958424,870058,10105828,7014587,"[6985178, 6975898, 6976186, 6976426, 6976714, 6976781, 6977021, 6977261, 6977453, 6977645, 6977885, 6978077, 6977693, 6977357, 6977069, 6976733, 6976445, 6976157, 6975869, 6975581, 6975293, 6975005, 6974765, 6974525, 6974237, 6973997, 6973757, 6973517, 6973325, 6973085, 6972845, 6972653, 6972413, 6972221, 6972029, 6971837, 6971597, 6971405, 6971213, 6971021, 6970877, 6970685, 6970493, 6970349, 6972509, 6974621, 6976733, 6978845, 6980861, 6982925, 6984893, 6986861, 6988781, 6990701, 6992573, 6994445, 6996269, 6998093, 6999869, 7001645, 7003373, 7005101, 7006829, 7008509, 7010141, 7011821, 7013405, 7015037, 7016621, 7018157, 7019741, 7021277, 7022765, 7024301, 7025789, 7027229, 7028717, 7030157, 7031549, 7032989, 7034381, 7035773, 7037117, 7038461, 7039805, 7041149, 7042445, 7043789, 7045085, 7046333, 7047629, 7048877, 7050125, 7051373, 7052573, 7053821, 7055021, 7056221, 7057373, 7058573, 7059725, 7060877, 7062029, 7063181, 7064285, 7065389, 7066541, 7067645, 7067933, 7068269, 7068605, 7068893, 7069229, 7069565, 7069853, 7070189, 7070477, 7070765, 7071101, 7071389, 7071677, 7071965, 7072301, 7072589, 7072877, 7073165, 7073453]"
0,3,llama4/Llama-4-Maverick-17B-128E-Instruct,130,128,185000000000,185913939662,913939662,958424,14193891,7084612,"[7133022, 7068730, 7069018, 7069354, 7069565, 7069853, 7070189, 7070477, 7070765, 7071101, 7071389, 7071677, 7071965, 7072301, 7072589, 7072877, 7073165, 7073453, 7073741, 7074029, 7074269, 7074557, 7074845, 7075133, 7075373, 7075661, 7075949, 7076189, 7076477, 7076717, 7077005, 7077245, 7077533, 7077773, 7078061, 7078301, 7078541, 7078781, 7079069, 7079309, 7079549, 7079789, 7080029, 7080269, 7080509, 7080749, 7080989, 7081229, 7081469, 7081709, 7081949, 7082189, 7082429, 7082669, 7082861, 7083101, 7083341, 7083533, 7083773, 7084013, 7084205, 7084445, 7084685, 7084877, 7085117, 7085309, 7085549, 7085741, 7085981, 7086173, 7086365, 7086605, 7086797, 7086989, 7087229, 7087421, 7087613, 7087805, 7088045, 7088237, 7088429, 7088621, 7088813, 7089005, 7089245, 7089437, 7089629, 7089821, 7090013, 7090205, 7090397, 7090589, 7090781, 7090973, 7091165, 7091309, 7091501, 7091693, 7091885, 7092077, 7092269, 7092461, 7092605, 7092797, 7092989, 7093181, 7093325, 7093517, 7093709, 7093853, 7094045, 7094237, 7094381, 7094573, 7094717, 7094909, 7095101, 7095245, 7095437, 7095581, 7095773, 7095917, 7096109, 7096253, 7096445, 7096589, 7096781]"
0,4,llama4/Llama-4-Maverick-17B-128E-Instruct,11,128,214000000000,214899635690,899635690,939662,9775526,7006772,"[6973401, 6973401, 6973401, 6973401, 6973651, 6973526, 6973862, 6974448, 6974659, 6975245, 6975408, 6975898, 6976061, 6976301, 6976589, 6976781, 6977021, 6977261, 6977453, 6977645, 6977885, 6978077, 6977693, 6977357, 6977069, 6976733, 6976445, 6976157, 6975869, 6975581, 6975293, 6975005, 6974765, 6974525, 6974237, 6973997, 6973757, 6973517, 6973325, 6973085, 6972845, 6972653, 6972413, 6972221, 6972029, 6971837, 6971597, 6971405, 6971213, 6971021, 6970877, 6970685, 6970493, 6970349, 6972509, 6974621, 6976733, 6978845, 6980861, 6982925, 6984893, 6986861, 6988781, 6990701, 6992573, 6994445, 6996269, 6998093, 6999869, 7001645, 7003373, 7005101, 7006829, 7008509, 7010141, 7011821, 7013405, 7015037, 7016621, 7018157, 7019741, 7021277, 7022765, 7024301, 7025789, 7027229, 7028717, 7030157, 7031549, 7032989, 7034381, 7035773, 7037117, 7038461, 7039805, 7041149, 7042445, 7043789, 7045085, 7046333, 7047629, 7048877, 7050125, 7051373, 7052573, 7053821, 7055021, 7056221, 7057373, 7058573, 7059725, 7060877, 7062029, 7063181, 7064285, 7065389, 7066541, 7067645, 7067933, 7068269, 7068605, 7068893, 7069229, 7069565, 7069853, 7070189, 7070477]"
0,5,llama4/Llama-4-Maverick-17B-128E-Instruct,5,128,233000000000,233898696692,898696692,635690,9411328,7002246,"[6973401, 6973401, 6973401, 6973401, 6973651, 6973526, 6973526, 6973776, 6973651, 6973901, 6973776, 6974026, 6974237, 6974573, 6974909, 6975245, 6975533, 6975773, 6976061, 6976301, 6976589, 6976781, 6977021, 6977261, 6977453, 6977645, 6977885, 6978077, 6977693, 6977357, 6977069, 6976733, 6976445, 6976157, 6975869, 6975581, 6975293, 6975005, 6974765, 6974525, 6974237, 6973997, 6973757, 6973517, 6973325, 6973085, 6972845, 6972653, 6972413, 6972221, 6972029, 6971837, 6971597, 6971405, 6971213, 6971021, 6970877, 6970685, 6970493, 6970349, 6972509, 6974621, 6976733, 6978845, 6980861, 6982925, 6984893, 6986861, 6988781, 6990701, 6992573, 6994445, 6996269, 6998093, 6999869, 7001645, 7003373, 7005101, 7006829, 7008509, 7010141, 7011821, 7013405, 7015037, 7016621, 7018157, 7019741, 7021277, 7022765, 7024301, 7025789, 7027229, 7028717, 7030157, 7031549, 7032989, 7034381, 7035773, 7037117, 7038461, 7039805, 7041149, 7042445, 7043789, 7045085, 7046333, 7047629, 7048877, 7050125, 7051373, 7052573, 7053821, 7055021, 7056221, 7057373, 7058573, 7059725, 7060877, 7062029, 7063181, 7064285, 7065389, 7066541, 7067645, 7067933, 7068269, 7068605]"
0,6,llama4/Llama-4-Maverick-17B-128E-Instruct,8,128,261000000000,261899052240,899052240,696692,9480892,7004498,"[6973401, 6973401, 6973401, 6973401, 6973651, 6973526, 6973526, 6973776, 6973651, 6974237, 6974448, 6975034, 6975245, 6975533, 6975773, 6976061, 6976301, 6976589, 6976781, 6977021, 6977261, 6977453, 6977645, 6977885, 6978077, 6977693, 6977357, 6977069, 6976733, 6976445, 6976157, 6975869, 6975581, 6975293, 6975005, 6974765, 6974525, 6974237, 6973997, 6973757, 6973517, 6973325, 6973085, 6972845, 6972653, 6972413, 6972221, 6972029, 6971837, 6971597, 6971405, 6971213, 6971021, 6970877, 6970685, 6970493, 6970349, 6972509, 6974621, 6976733, 6978845, 6980861, 6982925, 6984893, 6986861, 6988781, 6990701, 6992573, 6994445, 6996269, 6998093, 6999869, 7001645, 7003373, 7005101, 7006829, 7008509, 7010141, 7011821, 7013405, 7015037, 7016621, 7018157, 7019741, 7021277, 7022765, 7024301, 7025789, 7027229, 7028717, 7030157, 7031549, 7032989, 7034381, 7035773, 7037117, 7038461, 7039805, 7041149, 7042445, 7043789, 7045085, 7046333, 7047629, 7048877, 7050125, 7051373, 7052573, 7053821, 7055021, 7056221, 7057373, 7058573, 7059725, 7060877, 7062029, 7063181, 7064285, 7065389, 7066541, 7067645, 7067933, 7068269, 7068605, 7068893, 7069229, 7069565]"
0,7,llama4/Llama-4-Maverick-17B-128E-Instruct,25,128,267000000000,267900575294,900575294,52240,9327391,7017700,"[6988738, 6976906, 6977146, 6977386, 6977453, 6977645, 6977885, 6978077, 6977693, 6977357, 6977069, 6976733, 6976445, 6976157, 6975869, 6975581, 6975293, 6975005, 6974765, 6974525, 6974237, 6973997, 6973757, 6973517, 6973325, 6973085, 6972845, 6972653, 6972413, 6972221, 6972029, 6971837, 6971597, 6971405, 6971213, 6971021, 6970877, 6970685, 6970493, 6970349, 6972509, 6974621, 6976733, 6978845, 6980861, 6982925, 6984893, 6986861, 6988781, 6990701, 6992573, 6994445, 6996269, 6998093, 6999869, 7001645, 7003373, 7005101, 7006829, 7008509, 7010141, 7011821, 7013405, 7015037, 7016621, 7018157, 7019741, 7021277, 7022765, 7024301, 7025789, 7027229, 7028717, 7030157, 7031549, 7032989, 7034381, 7035773, 7037117, 7038461, 7039805, 7041149, 7042445, 7043789, 7045085, 7046333, 7047629, 7048877, 7050125, 7051373, 7052573, 7053821, 7055021, 7056221, 7057373, 7058573, 7059725, 7060877, 7062029, 7063181, 7064285, 7065389, 7066541, 7067645, 7067933, 7068269, 7068605, 7068893, 7069229, 7069565, 7069853, 7070189, 7070477, 7070765, 7071101, 7071389, 7071677, 7071965, 7072301, 7072589, 7072877, 7073165, 7073453, 7073741, 7074029, 7074269, 7074557]"
0,8,llama4/Llama-4-Maverick-17B-128E-Instruct,163,128,410000000000,410914943076,914943076,575294,14024501,7093847,"[7159058, 7078186, 7078426, 7078666, 7078781, 7079069, 7079309, 7079549, 7079789, 7080029, 7080269, 7080509, 7080749, 7080989, 7081229, 7081469, 7081709, 7081949, 7082189, 7082429, 7082669, 7082861, 7083101, 7083341, 7083533, 7083773, 7084013, 7084205, 7084445, 7084685, 7084877, 7085117, 7085309, 7085549, 7085741, 7085981, 7086173, 7086365, 7086605, 7086797, 7086989, 7087229, 7087421, 7087613, 7087805, 7088045, 7088237, 7088429, 7088621, 7088813, 7089005, 7089245, 7089437, 7089629, 7089821, 7090013, 7090205, 7090397, 7090589, 7090781, 7090973, 7091165, 7091309, 7091501, 7091693, 7091885, 7092077, 7092269, 7092461, 7092605, 7092797, 7092989, 7093181, 7093325, 7093517, 7093709, 7093853, 7094045, 7094237, 7094381, 7094573, 7094717, 7094909, 7095101, 7095245, 7095437, 7095581, 7095773, 7095917, 7096109, 7096253, 7096445, 7096589, 7096781, 7097453, 7098125, 7098845, 7099517, 7100189, 7100861, 7101581, 7102253, 7102925, 7103597, 7104269, 7104893, 7105565, 7106237, 7106909, 7107533, 7108205, 7108877, 7109501, 7110173, 7110797, 7111421, 7112093, 7112717, 7113341, 7113965, 7114637, 7115261, 7115885, 7116509, 7117133, 7117757, 7118333]"
0,9,llama4/Llama-4-Maverick-17B-128E-Instruct,13,128,535000000000,535899906308,899906308,943076,9848574,7008328,"[6976282, 6973401, 6973526, 6973651, 6973862, 6974198, 6974784, 6974995, 6975283, 6975898, 6976186, 6976301, 6976589, 6976781, 6977021, 6977261, 6977453, 6977645, 6977885, 6978077, 6977693, 6977357, 6977069, 6976733, 6976445, 6976157, 6975869, 6975581, 6975293, 6975005, 6974765, 6974525, 6974237, 6973997, 6973757, 6973517, 6973325, 6973085, 6972845, 6972653, 6972413, 6972221, 6972029, 6971837, 6971597, 6971405, 6971213, 6971021, 6970877, 6970685, 6970493, 6970349, 6972509, 6974621, 6976733, 6978845, 6980861, 6982925, 6984893, 6986861, 6988781, 6990701, 6992573, 6994445, 6996269, 6998093, 6999869, 7001645, 7003373, 7005101, 7006829, 7008509, 7010141, 7011821, 7013405, 7015037, 7016621, 7018157, 7019741, 7021277, 7022765, 7024301, 7025789, 7027229, 7028717, 7030157, 7031549, 7032989, 7034381, 7035773, 7037117, 7038461, 7039805, 7041149, 7042445, 7043789, 7045085, 7046333, 7047629, 7048877, 7050125, 7051373, 7052573, 7053821, 7055021, 7056221, 7057373, 7058573, 7059725, 7060877, 7062029, 7063181, 7064285, 7065389, 7066541, 7067645, 7067933, 7068269, 7068605, 7068893, 7069229, 7069565, 7069853, 7070189, 7070477, 7070765, 7071101]"
