instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,Qwen/Qwen3-235B-A22B,20,128,0,11310155464,11310155464,1,146796170,87900466,"[87852330, 87852330, 87851954, 87851672, 87851390, 87851014, 87850732, 87850544, 87850262, 87849980, 87849792, 87849604, 87849322, 87849134, 87848946, 87848758, 87848570, 87848382, 87848194, 87848100, 87847912, 87847724, 87847536, 87847442, 87847254, 87847160, 87846972, 87846878, 87846690, 87846596, 87846502, 87846314, 87846220, 87846126, 87846032, 87845844, 87845750, 87845656, 87845562, 87845468, 87845374, 87845280, 87846972, 87849604, 87852048, 87854398, 87856936, 87859286, 87861542, 87863892, 87866242, 87868498, 87870848, 87873010, 87875266, 87877428, 87879590, 87881752, 87883820, 87885888, 87887956, 87889930, 87891998, 87894066, 87895946, 87897920, 87899800, 87901680, 87903560, 87905440, 87907226, 87909012, 87910798, 87912584, 87914370, 87916062, 87917848, 87919540, 87921232, 87922830, 87924522, 87926120, 87927718, 87929316, 87930914, 87932512, 87934204, 87935708, 87937212, 87938716, 87940220, 87941724, 87943228, 87944638, 87946142, 87947552, 87948962, 87950372, 87951782, 87953192, 87954602, 87955918, 87957328, 87958644, 87959960, 87961276, 87962592, 87963908, 87965224, 87966540, 87967762, 87969078, 87970300, 87971522, 87972838, 87974060, 87975282, 87976410, 87977632, 87978854, 87980076, 87981204, 87982426, 87983554, 87984682, 87985810, 87986938]"
0,1,Qwen/Qwen3-235B-A22B,12,128,0,11310155464,11310155464,1,146796170,87900466,"[87852330, 87852330, 87851954, 87851672, 87851390, 87851014, 87850732, 87850544, 87850262, 87849980, 87849792, 87849604, 87849322, 87849134, 87848946, 87848758, 87848570, 87848382, 87848194, 87848100, 87847912, 87847724, 87847536, 87847442, 87847254, 87847160, 87846972, 87846878, 87846690, 87846596, 87846502, 87846314, 87846220, 87846126, 87846032, 87845844, 87845750, 87845656, 87845562, 87845468, 87845374, 87845280, 87846972, 87849604, 87852048, 87854398, 87856936, 87859286, 87861542, 87863892, 87866242, 87868498, 87870848, 87873010, 87875266, 87877428, 87879590, 87881752, 87883820, 87885888, 87887956, 87889930, 87891998, 87894066, 87895946, 87897920, 87899800, 87901680, 87903560, 87905440, 87907226, 87909012, 87910798, 87912584, 87914370, 87916062, 87917848, 87919540, 87921232, 87922830, 87924522, 87926120, 87927718, 87929316, 87930914, 87932512, 87934204, 87935708, 87937212, 87938716, 87940220, 87941724, 87943228, 87944638, 87946142, 87947552, 87948962, 87950372, 87951782, 87953192, 87954602, 87955918, 87957328, 87958644, 87959960, 87961276, 87962592, 87963908, 87965224, 87966540, 87967762, 87969078, 87970300, 87971522, 87972838, 87974060, 87975282, 87976410, 87977632, 87978854, 87980076, 87981204, 87982426, 87983554, 87984682, 87985810, 87986938]"
0,2,Qwen/Qwen3-235B-A22B,17,128,0,11310155464,11310155464,1,146796170,87900466,"[87852330, 87852330, 87851954, 87851672, 87851390, 87851014, 87850732, 87850544, 87850262, 87849980, 87849792, 87849604, 87849322, 87849134, 87848946, 87848758, 87848570, 87848382, 87848194, 87848100, 87847912, 87847724, 87847536, 87847442, 87847254, 87847160, 87846972, 87846878, 87846690, 87846596, 87846502, 87846314, 87846220, 87846126, 87846032, 87845844, 87845750, 87845656, 87845562, 87845468, 87845374, 87845280, 87846972, 87849604, 87852048, 87854398, 87856936, 87859286, 87861542, 87863892, 87866242, 87868498, 87870848, 87873010, 87875266, 87877428, 87879590, 87881752, 87883820, 87885888, 87887956, 87889930, 87891998, 87894066, 87895946, 87897920, 87899800, 87901680, 87903560, 87905440, 87907226, 87909012, 87910798, 87912584, 87914370, 87916062, 87917848, 87919540, 87921232, 87922830, 87924522, 87926120, 87927718, 87929316, 87930914, 87932512, 87934204, 87935708, 87937212, 87938716, 87940220, 87941724, 87943228, 87944638, 87946142, 87947552, 87948962, 87950372, 87951782, 87953192, 87954602, 87955918, 87957328, 87958644, 87959960, 87961276, 87962592, 87963908, 87965224, 87966540, 87967762, 87969078, 87970300, 87971522, 87972838, 87974060, 87975282, 87976410, 87977632, 87978854, 87980076, 87981204, 87982426, 87983554, 87984682, 87985810, 87986938]"
0,3,Qwen/Qwen3-235B-A22B,18,128,0,11310155464,11310155464,1,146796170,87900466,"[87852330, 87852330, 87851954, 87851672, 87851390, 87851014, 87850732, 87850544, 87850262, 87849980, 87849792, 87849604, 87849322, 87849134, 87848946, 87848758, 87848570, 87848382, 87848194, 87848100, 87847912, 87847724, 87847536, 87847442, 87847254, 87847160, 87846972, 87846878, 87846690, 87846596, 87846502, 87846314, 87846220, 87846126, 87846032, 87845844, 87845750, 87845656, 87845562, 87845468, 87845374, 87845280, 87846972, 87849604, 87852048, 87854398, 87856936, 87859286, 87861542, 87863892, 87866242, 87868498, 87870848, 87873010, 87875266, 87877428, 87879590, 87881752, 87883820, 87885888, 87887956, 87889930, 87891998, 87894066, 87895946, 87897920, 87899800, 87901680, 87903560, 87905440, 87907226, 87909012, 87910798, 87912584, 87914370, 87916062, 87917848, 87919540, 87921232, 87922830, 87924522, 87926120, 87927718, 87929316, 87930914, 87932512, 87934204, 87935708, 87937212, 87938716, 87940220, 87941724, 87943228, 87944638, 87946142, 87947552, 87948962, 87950372, 87951782, 87953192, 87954602, 87955918, 87957328, 87958644, 87959960, 87961276, 87962592, 87963908, 87965224, 87966540, 87967762, 87969078, 87970300, 87971522, 87972838, 87974060, 87975282, 87976410, 87977632, 87978854, 87980076, 87981204, 87982426, 87983554, 87984682, 87985810, 87986938]"
0,4,Qwen/Qwen3-235B-A22B,10,128,0,11310155464,11310155464,1,146796170,87900466,"[87852330, 87852330, 87851954, 87851672, 87851390, 87851014, 87850732, 87850544, 87850262, 87849980, 87849792, 87849604, 87849322, 87849134, 87848946, 87848758, 87848570, 87848382, 87848194, 87848100, 87847912, 87847724, 87847536, 87847442, 87847254, 87847160, 87846972, 87846878, 87846690, 87846596, 87846502, 87846314, 87846220, 87846126, 87846032, 87845844, 87845750, 87845656, 87845562, 87845468, 87845374, 87845280, 87846972, 87849604, 87852048, 87854398, 87856936, 87859286, 87861542, 87863892, 87866242, 87868498, 87870848, 87873010, 87875266, 87877428, 87879590, 87881752, 87883820, 87885888, 87887956, 87889930, 87891998, 87894066, 87895946, 87897920, 87899800, 87901680, 87903560, 87905440, 87907226, 87909012, 87910798, 87912584, 87914370, 87916062, 87917848, 87919540, 87921232, 87922830, 87924522, 87926120, 87927718, 87929316, 87930914, 87932512, 87934204, 87935708, 87937212, 87938716, 87940220, 87941724, 87943228, 87944638, 87946142, 87947552, 87948962, 87950372, 87951782, 87953192, 87954602, 87955918, 87957328, 87958644, 87959960, 87961276, 87962592, 87963908, 87965224, 87966540, 87967762, 87969078, 87970300, 87971522, 87972838, 87974060, 87975282, 87976410, 87977632, 87978854, 87980076, 87981204, 87982426, 87983554, 87984682, 87985810, 87986938]"
0,5,Qwen/Qwen3-235B-A22B,17,128,0,11310155464,11310155464,1,146796170,87900466,"[87852330, 87852330, 87851954, 87851672, 87851390, 87851014, 87850732, 87850544, 87850262, 87849980, 87849792, 87849604, 87849322, 87849134, 87848946, 87848758, 87848570, 87848382, 87848194, 87848100, 87847912, 87847724, 87847536, 87847442, 87847254, 87847160, 87846972, 87846878, 87846690, 87846596, 87846502, 87846314, 87846220, 87846126, 87846032, 87845844, 87845750, 87845656, 87845562, 87845468, 87845374, 87845280, 87846972, 87849604, 87852048, 87854398, 87856936, 87859286, 87861542, 87863892, 87866242, 87868498, 87870848, 87873010, 87875266, 87877428, 87879590, 87881752, 87883820, 87885888, 87887956, 87889930, 87891998, 87894066, 87895946, 87897920, 87899800, 87901680, 87903560, 87905440, 87907226, 87909012, 87910798, 87912584, 87914370, 87916062, 87917848, 87919540, 87921232, 87922830, 87924522, 87926120, 87927718, 87929316, 87930914, 87932512, 87934204, 87935708, 87937212, 87938716, 87940220, 87941724, 87943228, 87944638, 87946142, 87947552, 87948962, 87950372, 87951782, 87953192, 87954602, 87955918, 87957328, 87958644, 87959960, 87961276, 87962592, 87963908, 87965224, 87966540, 87967762, 87969078, 87970300, 87971522, 87972838, 87974060, 87975282, 87976410, 87977632, 87978854, 87980076, 87981204, 87982426, 87983554, 87984682, 87985810, 87986938]"
0,6,Qwen/Qwen3-235B-A22B,23,128,0,11310155464,11310155464,1,146796170,87900466,"[87852330, 87852330, 87851954, 87851672, 87851390, 87851014, 87850732, 87850544, 87850262, 87849980, 87849792, 87849604, 87849322, 87849134, 87848946, 87848758, 87848570, 87848382, 87848194, 87848100, 87847912, 87847724, 87847536, 87847442, 87847254, 87847160, 87846972, 87846878, 87846690, 87846596, 87846502, 87846314, 87846220, 87846126, 87846032, 87845844, 87845750, 87845656, 87845562, 87845468, 87845374, 87845280, 87846972, 87849604, 87852048, 87854398, 87856936, 87859286, 87861542, 87863892, 87866242, 87868498, 87870848, 87873010, 87875266, 87877428, 87879590, 87881752, 87883820, 87885888, 87887956, 87889930, 87891998, 87894066, 87895946, 87897920, 87899800, 87901680, 87903560, 87905440, 87907226, 87909012, 87910798, 87912584, 87914370, 87916062, 87917848, 87919540, 87921232, 87922830, 87924522, 87926120, 87927718, 87929316, 87930914, 87932512, 87934204, 87935708, 87937212, 87938716, 87940220, 87941724, 87943228, 87944638, 87946142, 87947552, 87948962, 87950372, 87951782, 87953192, 87954602, 87955918, 87957328, 87958644, 87959960, 87961276, 87962592, 87963908, 87965224, 87966540, 87967762, 87969078, 87970300, 87971522, 87972838, 87974060, 87975282, 87976410, 87977632, 87978854, 87980076, 87981204, 87982426, 87983554, 87984682, 87985810, 87986938]"
0,7,Qwen/Qwen3-235B-A22B,13,128,0,11310155464,11310155464,1,146796170,87900466,"[87852330, 87852330, 87851954, 87851672, 87851390, 87851014, 87850732, 87850544, 87850262, 87849980, 87849792, 87849604, 87849322, 87849134, 87848946, 87848758, 87848570, 87848382, 87848194, 87848100, 87847912, 87847724, 87847536, 87847442, 87847254, 87847160, 87846972, 87846878, 87846690, 87846596, 87846502, 87846314, 87846220, 87846126, 87846032, 87845844, 87845750, 87845656, 87845562, 87845468, 87845374, 87845280, 87846972, 87849604, 87852048, 87854398, 87856936, 87859286, 87861542, 87863892, 87866242, 87868498, 87870848, 87873010, 87875266, 87877428, 87879590, 87881752, 87883820, 87885888, 87887956, 87889930, 87891998, 87894066, 87895946, 87897920, 87899800, 87901680, 87903560, 87905440, 87907226, 87909012, 87910798, 87912584, 87914370, 87916062, 87917848, 87919540, 87921232, 87922830, 87924522, 87926120, 87927718, 87929316, 87930914, 87932512, 87934204, 87935708, 87937212, 87938716, 87940220, 87941724, 87943228, 87944638, 87946142, 87947552, 87948962, 87950372, 87951782, 87953192, 87954602, 87955918, 87957328, 87958644, 87959960, 87961276, 87962592, 87963908, 87965224, 87966540, 87967762, 87969078, 87970300, 87971522, 87972838, 87974060, 87975282, 87976410, 87977632, 87978854, 87980076, 87981204, 87982426, 87983554, 87984682, 87985810, 87986938]"
0,8,Qwen/Qwen3-235B-A22B,10,128,0,11310155464,11310155464,1,146796170,87900466,"[87852330, 87852330, 87851954, 87851672, 87851390, 87851014, 87850732, 87850544, 87850262, 87849980, 87849792, 87849604, 87849322, 87849134, 87848946, 87848758, 87848570, 87848382, 87848194, 87848100, 87847912, 87847724, 87847536, 87847442, 87847254, 87847160, 87846972, 87846878, 87846690, 87846596, 87846502, 87846314, 87846220, 87846126, 87846032, 87845844, 87845750, 87845656, 87845562, 87845468, 87845374, 87845280, 87846972, 87849604, 87852048, 87854398, 87856936, 87859286, 87861542, 87863892, 87866242, 87868498, 87870848, 87873010, 87875266, 87877428, 87879590, 87881752, 87883820, 87885888, 87887956, 87889930, 87891998, 87894066, 87895946, 87897920, 87899800, 87901680, 87903560, 87905440, 87907226, 87909012, 87910798, 87912584, 87914370, 87916062, 87917848, 87919540, 87921232, 87922830, 87924522, 87926120, 87927718, 87929316, 87930914, 87932512, 87934204, 87935708, 87937212, 87938716, 87940220, 87941724, 87943228, 87944638, 87946142, 87947552, 87948962, 87950372, 87951782, 87953192, 87954602, 87955918, 87957328, 87958644, 87959960, 87961276, 87962592, 87963908, 87965224, 87966540, 87967762, 87969078, 87970300, 87971522, 87972838, 87974060, 87975282, 87976410, 87977632, 87978854, 87980076, 87981204, 87982426, 87983554, 87984682, 87985810, 87986938]"
0,9,Qwen/Qwen3-235B-A22B,14,128,0,11310155464,11310155464,1,146796170,87900466,"[87852330, 87852330, 87851954, 87851672, 87851390, 87851014, 87850732, 87850544, 87850262, 87849980, 87849792, 87849604, 87849322, 87849134, 87848946, 87848758, 87848570, 87848382, 87848194, 87848100, 87847912, 87847724, 87847536, 87847442, 87847254, 87847160, 87846972, 87846878, 87846690, 87846596, 87846502, 87846314, 87846220, 87846126, 87846032, 87845844, 87845750, 87845656, 87845562, 87845468, 87845374, 87845280, 87846972, 87849604, 87852048, 87854398, 87856936, 87859286, 87861542, 87863892, 87866242, 87868498, 87870848, 87873010, 87875266, 87877428, 87879590, 87881752, 87883820, 87885888, 87887956, 87889930, 87891998, 87894066, 87895946, 87897920, 87899800, 87901680, 87903560, 87905440, 87907226, 87909012, 87910798, 87912584, 87914370, 87916062, 87917848, 87919540, 87921232, 87922830, 87924522, 87926120, 87927718, 87929316, 87930914, 87932512, 87934204, 87935708, 87937212, 87938716, 87940220, 87941724, 87943228, 87944638, 87946142, 87947552, 87948962, 87950372, 87951782, 87953192, 87954602, 87955918, 87957328, 87958644, 87959960, 87961276, 87962592, 87963908, 87965224, 87966540, 87967762, 87969078, 87970300, 87971522, 87972838, 87974060, 87975282, 87976410, 87977632, 87978854, 87980076, 87981204, 87982426, 87983554, 87984682, 87985810, 87986938]"
