instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,Qwen/Qwen3-235B-A22B,20,128,0,5768987332,5768987332,1,98457194,44649843,"[35475786, 42728480, 43081613, 42705070, 41582708, 41865847, 43011223, 43442116, 42859704, 43949919, 43986758, 43980169, 42881664, 43018998, 42808482, 43225548, 44088369, 44635325, 44555806, 43172435, 43456664, 43659928, 43282114, 43213260, 44126897, 45455385, 45794241, 46604353, 45054897, 45739698, 44397155, 44748817, 43876496, 45130246, 45261072, 43423654, 43629291, 44607597, 45389344, 46058589, 45794946, 43814031, 43064453, 44403754, 43084248, 44889498, 44237802, 44177693, 45541155, 44047842, 44671731, 44840142, 44808794, 44307941, 43484346, 45278027, 44188640, 44383462, 44573338, 45259931, 45287687, 44247523, 44258335, 44798210, 44146853, 44883926, 44889117, 43868006, 44700649, 43543721, 44783192, 44369263, 44981498, 44972969, 44480637, 44881238, 45480056, 45109515, 44826374, 45344924, 45641195, 45092831, 45626734, 45050336, 45436765, 44423358, 44086006, 44347634, 44984560, 45025165, 45556504, 45728840, 45877055, 45419262, 45570298, 45941689, 45257594, 46228184, 46128171, 44538298, 44326858, 45632542, 45124206, 46411810, 46188798, 46107177, 44896204, 46158326, 45353062, 45265907, 45499679, 45582254, 46159516, 46390745, 46276861, 46168835, 46837956, 45141503, 45052540, 45345773, 44244997, 44942394, 45460399, 44699851, 45779368, 46365381, 46485532]"
0,1,Qwen/Qwen3-235B-A22B,12,128,0,5768987332,5768987332,1,98457194,44649843,"[35475786, 42728480, 43081613, 42705070, 41582708, 41865847, 43011223, 43442116, 42859704, 43949919, 43986758, 43980169, 42881664, 43018998, 42808482, 43225548, 44088369, 44635325, 44555806, 43172435, 43456664, 43659928, 43282114, 43213260, 44126897, 45455385, 45794241, 46604353, 45054897, 45739698, 44397155, 44748817, 43876496, 45130246, 45261072, 43423654, 43629291, 44607597, 45389344, 46058589, 45794946, 43814031, 43064453, 44403754, 43084248, 44889498, 44237802, 44177693, 45541155, 44047842, 44671731, 44840142, 44808794, 44307941, 43484346, 45278027, 44188640, 44383462, 44573338, 45259931, 45287687, 44247523, 44258335, 44798210, 44146853, 44883926, 44889117, 43868006, 44700649, 43543721, 44783192, 44369263, 44981498, 44972969, 44480637, 44881238, 45480056, 45109515, 44826374, 45344924, 45641195, 45092831, 45626734, 45050336, 45436765, 44423358, 44086006, 44347634, 44984560, 45025165, 45556504, 45728840, 45877055, 45419262, 45570298, 45941689, 45257594, 46228184, 46128171, 44538298, 44326858, 45632542, 45124206, 46411810, 46188798, 46107177, 44896204, 46158326, 45353062, 45265907, 45499679, 45582254, 46159516, 46390745, 46276861, 46168835, 46837956, 45141503, 45052540, 45345773, 44244997, 44942394, 45460399, 44699851, 45779368, 46365381, 46485532]"
0,2,Qwen/Qwen3-235B-A22B,17,128,0,5768987332,5768987332,1,98457194,44649843,"[35475786, 42728480, 43081613, 42705070, 41582708, 41865847, 43011223, 43442116, 42859704, 43949919, 43986758, 43980169, 42881664, 43018998, 42808482, 43225548, 44088369, 44635325, 44555806, 43172435, 43456664, 43659928, 43282114, 43213260, 44126897, 45455385, 45794241, 46604353, 45054897, 45739698, 44397155, 44748817, 43876496, 45130246, 45261072, 43423654, 43629291, 44607597, 45389344, 46058589, 45794946, 43814031, 43064453, 44403754, 43084248, 44889498, 44237802, 44177693, 45541155, 44047842, 44671731, 44840142, 44808794, 44307941, 43484346, 45278027, 44188640, 44383462, 44573338, 45259931, 45287687, 44247523, 44258335, 44798210, 44146853, 44883926, 44889117, 43868006, 44700649, 43543721, 44783192, 44369263, 44981498, 44972969, 44480637, 44881238, 45480056, 45109515, 44826374, 45344924, 45641195, 45092831, 45626734, 45050336, 45436765, 44423358, 44086006, 44347634, 44984560, 45025165, 45556504, 45728840, 45877055, 45419262, 45570298, 45941689, 45257594, 46228184, 46128171, 44538298, 44326858, 45632542, 45124206, 46411810, 46188798, 46107177, 44896204, 46158326, 45353062, 45265907, 45499679, 45582254, 46159516, 46390745, 46276861, 46168835, 46837956, 45141503, 45052540, 45345773, 44244997, 44942394, 45460399, 44699851, 45779368, 46365381, 46485532]"
0,3,Qwen/Qwen3-235B-A22B,18,128,0,5768987332,5768987332,1,98457194,44649843,"[35475786, 42728480, 43081613, 42705070, 41582708, 41865847, 43011223, 43442116, 42859704, 43949919, 43986758, 43980169, 42881664, 43018998, 42808482, 43225548, 44088369, 44635325, 44555806, 43172435, 43456664, 43659928, 43282114, 43213260, 44126897, 45455385, 45794241, 46604353, 45054897, 45739698, 44397155, 44748817, 43876496, 45130246, 45261072, 43423654, 43629291, 44607597, 45389344, 46058589, 45794946, 43814031, 43064453, 44403754, 43084248, 44889498, 44237802, 44177693, 45541155, 44047842, 44671731, 44840142, 44808794, 44307941, 43484346, 45278027, 44188640, 44383462, 44573338, 45259931, 45287687, 44247523, 44258335, 44798210, 44146853, 44883926, 44889117, 43868006, 44700649, 43543721, 44783192, 44369263, 44981498, 44972969, 44480637, 44881238, 45480056, 45109515, 44826374, 45344924, 45641195, 45092831, 45626734, 45050336, 45436765, 44423358, 44086006, 44347634, 44984560, 45025165, 45556504, 45728840, 45877055, 45419262, 45570298, 45941689, 45257594, 46228184, 46128171, 44538298, 44326858, 45632542, 45124206, 46411810, 46188798, 46107177, 44896204, 46158326, 45353062, 45265907, 45499679, 45582254, 46159516, 46390745, 46276861, 46168835, 46837956, 45141503, 45052540, 45345773, 44244997, 44942394, 45460399, 44699851, 45779368, 46365381, 46485532]"
0,4,Qwen/Qwen3-235B-A22B,10,128,0,5768987332,5768987332,1,98457194,44649843,"[35475786, 42728480, 43081613, 42705070, 41582708, 41865847, 43011223, 43442116, 42859704, 43949919, 43986758, 43980169, 42881664, 43018998, 42808482, 43225548, 44088369, 44635325, 44555806, 43172435, 43456664, 43659928, 43282114, 43213260, 44126897, 45455385, 45794241, 46604353, 45054897, 45739698, 44397155, 44748817, 43876496, 45130246, 45261072, 43423654, 43629291, 44607597, 45389344, 46058589, 45794946, 43814031, 43064453, 44403754, 43084248, 44889498, 44237802, 44177693, 45541155, 44047842, 44671731, 44840142, 44808794, 44307941, 43484346, 45278027, 44188640, 44383462, 44573338, 45259931, 45287687, 44247523, 44258335, 44798210, 44146853, 44883926, 44889117, 43868006, 44700649, 43543721, 44783192, 44369263, 44981498, 44972969, 44480637, 44881238, 45480056, 45109515, 44826374, 45344924, 45641195, 45092831, 45626734, 45050336, 45436765, 44423358, 44086006, 44347634, 44984560, 45025165, 45556504, 45728840, 45877055, 45419262, 45570298, 45941689, 45257594, 46228184, 46128171, 44538298, 44326858, 45632542, 45124206, 46411810, 46188798, 46107177, 44896204, 46158326, 45353062, 45265907, 45499679, 45582254, 46159516, 46390745, 46276861, 46168835, 46837956, 45141503, 45052540, 45345773, 44244997, 44942394, 45460399, 44699851, 45779368, 46365381, 46485532]"
0,5,Qwen/Qwen3-235B-A22B,17,128,0,5768987332,5768987332,1,98457194,44649843,"[35475786, 42728480, 43081613, 42705070, 41582708, 41865847, 43011223, 43442116, 42859704, 43949919, 43986758, 43980169, 42881664, 43018998, 42808482, 43225548, 44088369, 44635325, 44555806, 43172435, 43456664, 43659928, 43282114, 43213260, 44126897, 45455385, 45794241, 46604353, 45054897, 45739698, 44397155, 44748817, 43876496, 45130246, 45261072, 43423654, 43629291, 44607597, 45389344, 46058589, 45794946, 43814031, 43064453, 44403754, 43084248, 44889498, 44237802, 44177693, 45541155, 44047842, 44671731, 44840142, 44808794, 44307941, 43484346, 45278027, 44188640, 44383462, 44573338, 45259931, 45287687, 44247523, 44258335, 44798210, 44146853, 44883926, 44889117, 43868006, 44700649, 43543721, 44783192, 44369263, 44981498, 44972969, 44480637, 44881238, 45480056, 45109515, 44826374, 45344924, 45641195, 45092831, 45626734, 45050336, 45436765, 44423358, 44086006, 44347634, 44984560, 45025165, 45556504, 45728840, 45877055, 45419262, 45570298, 45941689, 45257594, 46228184, 46128171, 44538298, 44326858, 45632542, 45124206, 46411810, 46188798, 46107177, 44896204, 46158326, 45353062, 45265907, 45499679, 45582254, 46159516, 46390745, 46276861, 46168835, 46837956, 45141503, 45052540, 45345773, 44244997, 44942394, 45460399, 44699851, 45779368, 46365381, 46485532]"
0,6,Qwen/Qwen3-235B-A22B,23,128,0,5768987332,5768987332,1,98457194,44649843,"[35475786, 42728480, 43081613, 42705070, 41582708, 41865847, 43011223, 43442116, 42859704, 43949919, 43986758, 43980169, 42881664, 43018998, 42808482, 43225548, 44088369, 44635325, 44555806, 43172435, 43456664, 43659928, 43282114, 43213260, 44126897, 45455385, 45794241, 46604353, 45054897, 45739698, 44397155, 44748817, 43876496, 45130246, 45261072, 43423654, 43629291, 44607597, 45389344, 46058589, 45794946, 43814031, 43064453, 44403754, 43084248, 44889498, 44237802, 44177693, 45541155, 44047842, 44671731, 44840142, 44808794, 44307941, 43484346, 45278027, 44188640, 44383462, 44573338, 45259931, 45287687, 44247523, 44258335, 44798210, 44146853, 44883926, 44889117, 43868006, 44700649, 43543721, 44783192, 44369263, 44981498, 44972969, 44480637, 44881238, 45480056, 45109515, 44826374, 45344924, 45641195, 45092831, 45626734, 45050336, 45436765, 44423358, 44086006, 44347634, 44984560, 45025165, 45556504, 45728840, 45877055, 45419262, 45570298, 45941689, 45257594, 46228184, 46128171, 44538298, 44326858, 45632542, 45124206, 46411810, 46188798, 46107177, 44896204, 46158326, 45353062, 45265907, 45499679, 45582254, 46159516, 46390745, 46276861, 46168835, 46837956, 45141503, 45052540, 45345773, 44244997, 44942394, 45460399, 44699851, 45779368, 46365381, 46485532]"
0,7,Qwen/Qwen3-235B-A22B,13,128,0,5768987332,5768987332,1,98457194,44649843,"[35475786, 42728480, 43081613, 42705070, 41582708, 41865847, 43011223, 43442116, 42859704, 43949919, 43986758, 43980169, 42881664, 43018998, 42808482, 43225548, 44088369, 44635325, 44555806, 43172435, 43456664, 43659928, 43282114, 43213260, 44126897, 45455385, 45794241, 46604353, 45054897, 45739698, 44397155, 44748817, 43876496, 45130246, 45261072, 43423654, 43629291, 44607597, 45389344, 46058589, 45794946, 43814031, 43064453, 44403754, 43084248, 44889498, 44237802, 44177693, 45541155, 44047842, 44671731, 44840142, 44808794, 44307941, 43484346, 45278027, 44188640, 44383462, 44573338, 45259931, 45287687, 44247523, 44258335, 44798210, 44146853, 44883926, 44889117, 43868006, 44700649, 43543721, 44783192, 44369263, 44981498, 44972969, 44480637, 44881238, 45480056, 45109515, 44826374, 45344924, 45641195, 45092831, 45626734, 45050336, 45436765, 44423358, 44086006, 44347634, 44984560, 45025165, 45556504, 45728840, 45877055, 45419262, 45570298, 45941689, 45257594, 46228184, 46128171, 44538298, 44326858, 45632542, 45124206, 46411810, 46188798, 46107177, 44896204, 46158326, 45353062, 45265907, 45499679, 45582254, 46159516, 46390745, 46276861, 46168835, 46837956, 45141503, 45052540, 45345773, 44244997, 44942394, 45460399, 44699851, 45779368, 46365381, 46485532]"
0,8,Qwen/Qwen3-235B-A22B,10,128,0,5768987332,5768987332,1,98457194,44649843,"[35475786, 42728480, 43081613, 42705070, 41582708, 41865847, 43011223, 43442116, 42859704, 43949919, 43986758, 43980169, 42881664, 43018998, 42808482, 43225548, 44088369, 44635325, 44555806, 43172435, 43456664, 43659928, 43282114, 43213260, 44126897, 45455385, 45794241, 46604353, 45054897, 45739698, 44397155, 44748817, 43876496, 45130246, 45261072, 43423654, 43629291, 44607597, 45389344, 46058589, 45794946, 43814031, 43064453, 44403754, 43084248, 44889498, 44237802, 44177693, 45541155, 44047842, 44671731, 44840142, 44808794, 44307941, 43484346, 45278027, 44188640, 44383462, 44573338, 45259931, 45287687, 44247523, 44258335, 44798210, 44146853, 44883926, 44889117, 43868006, 44700649, 43543721, 44783192, 44369263, 44981498, 44972969, 44480637, 44881238, 45480056, 45109515, 44826374, 45344924, 45641195, 45092831, 45626734, 45050336, 45436765, 44423358, 44086006, 44347634, 44984560, 45025165, 45556504, 45728840, 45877055, 45419262, 45570298, 45941689, 45257594, 46228184, 46128171, 44538298, 44326858, 45632542, 45124206, 46411810, 46188798, 46107177, 44896204, 46158326, 45353062, 45265907, 45499679, 45582254, 46159516, 46390745, 46276861, 46168835, 46837956, 45141503, 45052540, 45345773, 44244997, 44942394, 45460399, 44699851, 45779368, 46365381, 46485532]"
0,9,Qwen/Qwen3-235B-A22B,14,128,0,5768987332,5768987332,1,98457194,44649843,"[35475786, 42728480, 43081613, 42705070, 41582708, 41865847, 43011223, 43442116, 42859704, 43949919, 43986758, 43980169, 42881664, 43018998, 42808482, 43225548, 44088369, 44635325, 44555806, 43172435, 43456664, 43659928, 43282114, 43213260, 44126897, 45455385, 45794241, 46604353, 45054897, 45739698, 44397155, 44748817, 43876496, 45130246, 45261072, 43423654, 43629291, 44607597, 45389344, 46058589, 45794946, 43814031, 43064453, 44403754, 43084248, 44889498, 44237802, 44177693, 45541155, 44047842, 44671731, 44840142, 44808794, 44307941, 43484346, 45278027, 44188640, 44383462, 44573338, 45259931, 45287687, 44247523, 44258335, 44798210, 44146853, 44883926, 44889117, 43868006, 44700649, 43543721, 44783192, 44369263, 44981498, 44972969, 44480637, 44881238, 45480056, 45109515, 44826374, 45344924, 45641195, 45092831, 45626734, 45050336, 45436765, 44423358, 44086006, 44347634, 44984560, 45025165, 45556504, 45728840, 45877055, 45419262, 45570298, 45941689, 45257594, 46228184, 46128171, 44538298, 44326858, 45632542, 45124206, 46411810, 46188798, 46107177, 44896204, 46158326, 45353062, 45265907, 45499679, 45582254, 46159516, 46390745, 46276861, 46168835, 46837956, 45141503, 45052540, 45345773, 44244997, 44942394, 45460399, 44699851, 45779368, 46365381, 46485532]"
