instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,Qwen/Qwen3-235B-A22B,20,128,0,4798686512,4798686512,1,68212922,37247823,"[28765845, 34450118, 35079865, 34703877, 33165380, 34184857, 35773075, 35260115, 35830072, 36037137, 36362527, 36438450, 35084807, 35384777, 35140352, 35362300, 35812725, 36819194, 36042520, 36067145, 36147113, 36288558, 36151829, 35410464, 36322944, 37785863, 38663797, 38943095, 37660614, 39044818, 37314093, 38289424, 36891058, 37819378, 38262332, 36604325, 36752708, 38154997, 38406257, 39644201, 38131228, 35253451, 35074553, 36680480, 35780955, 37210977, 36349384, 36640025, 37592018, 36155091, 37644601, 37576605, 37626161, 37167322, 36262341, 38103266, 37222606, 37440638, 37488395, 37772457, 37504489, 36760943, 37492070, 36983036, 37891102, 38328342, 37468662, 36416862, 37400588, 36070123, 37557117, 37783555, 37887041, 37471994, 36955456, 38247308, 38935881, 38459810, 37454854, 38344142, 38746287, 38149559, 38381197, 37518974, 38055521, 37617951, 37086668, 37117830, 38302583, 38574919, 38905336, 38368919, 38775464, 38897086, 38442493, 38905127, 38011820, 38807526, 38090880, 36633377, 36573567, 37234168, 37384681, 38787951, 38631875, 37884321, 36488040, 38277866, 37712957, 37592471, 37764388, 38001506, 39310731, 39129312, 38775264, 38727278, 39418174, 37481738, 37068205, 37151080, 36609394, 37860632, 37582222, 37149789, 38123424, 38895329, 38558775]"
0,1,Qwen/Qwen3-235B-A22B,12,128,0,4798686512,4798686512,1,68212922,37247823,"[28765845, 34450118, 35079865, 34703877, 33165380, 34184857, 35773075, 35260115, 35830072, 36037137, 36362527, 36438450, 35084807, 35384777, 35140352, 35362300, 35812725, 36819194, 36042520, 36067145, 36147113, 36288558, 36151829, 35410464, 36322944, 37785863, 38663797, 38943095, 37660614, 39044818, 37314093, 38289424, 36891058, 37819378, 38262332, 36604325, 36752708, 38154997, 38406257, 39644201, 38131228, 35253451, 35074553, 36680480, 35780955, 37210977, 36349384, 36640025, 37592018, 36155091, 37644601, 37576605, 37626161, 37167322, 36262341, 38103266, 37222606, 37440638, 37488395, 37772457, 37504489, 36760943, 37492070, 36983036, 37891102, 38328342, 37468662, 36416862, 37400588, 36070123, 37557117, 37783555, 37887041, 37471994, 36955456, 38247308, 38935881, 38459810, 37454854, 38344142, 38746287, 38149559, 38381197, 37518974, 38055521, 37617951, 37086668, 37117830, 38302583, 38574919, 38905336, 38368919, 38775464, 38897086, 38442493, 38905127, 38011820, 38807526, 38090880, 36633377, 36573567, 37234168, 37384681, 38787951, 38631875, 37884321, 36488040, 38277866, 37712957, 37592471, 37764388, 38001506, 39310731, 39129312, 38775264, 38727278, 39418174, 37481738, 37068205, 37151080, 36609394, 37860632, 37582222, 37149789, 38123424, 38895329, 38558775]"
0,2,Qwen/Qwen3-235B-A22B,17,128,0,4798686512,4798686512,1,68212922,37247823,"[28765845, 34450118, 35079865, 34703877, 33165380, 34184857, 35773075, 35260115, 35830072, 36037137, 36362527, 36438450, 35084807, 35384777, 35140352, 35362300, 35812725, 36819194, 36042520, 36067145, 36147113, 36288558, 36151829, 35410464, 36322944, 37785863, 38663797, 38943095, 37660614, 39044818, 37314093, 38289424, 36891058, 37819378, 38262332, 36604325, 36752708, 38154997, 38406257, 39644201, 38131228, 35253451, 35074553, 36680480, 35780955, 37210977, 36349384, 36640025, 37592018, 36155091, 37644601, 37576605, 37626161, 37167322, 36262341, 38103266, 37222606, 37440638, 37488395, 37772457, 37504489, 36760943, 37492070, 36983036, 37891102, 38328342, 37468662, 36416862, 37400588, 36070123, 37557117, 37783555, 37887041, 37471994, 36955456, 38247308, 38935881, 38459810, 37454854, 38344142, 38746287, 38149559, 38381197, 37518974, 38055521, 37617951, 37086668, 37117830, 38302583, 38574919, 38905336, 38368919, 38775464, 38897086, 38442493, 38905127, 38011820, 38807526, 38090880, 36633377, 36573567, 37234168, 37384681, 38787951, 38631875, 37884321, 36488040, 38277866, 37712957, 37592471, 37764388, 38001506, 39310731, 39129312, 38775264, 38727278, 39418174, 37481738, 37068205, 37151080, 36609394, 37860632, 37582222, 37149789, 38123424, 38895329, 38558775]"
0,3,Qwen/Qwen3-235B-A22B,18,128,0,4798686512,4798686512,1,68212922,37247823,"[28765845, 34450118, 35079865, 34703877, 33165380, 34184857, 35773075, 35260115, 35830072, 36037137, 36362527, 36438450, 35084807, 35384777, 35140352, 35362300, 35812725, 36819194, 36042520, 36067145, 36147113, 36288558, 36151829, 35410464, 36322944, 37785863, 38663797, 38943095, 37660614, 39044818, 37314093, 38289424, 36891058, 37819378, 38262332, 36604325, 36752708, 38154997, 38406257, 39644201, 38131228, 35253451, 35074553, 36680480, 35780955, 37210977, 36349384, 36640025, 37592018, 36155091, 37644601, 37576605, 37626161, 37167322, 36262341, 38103266, 37222606, 37440638, 37488395, 37772457, 37504489, 36760943, 37492070, 36983036, 37891102, 38328342, 37468662, 36416862, 37400588, 36070123, 37557117, 37783555, 37887041, 37471994, 36955456, 38247308, 38935881, 38459810, 37454854, 38344142, 38746287, 38149559, 38381197, 37518974, 38055521, 37617951, 37086668, 37117830, 38302583, 38574919, 38905336, 38368919, 38775464, 38897086, 38442493, 38905127, 38011820, 38807526, 38090880, 36633377, 36573567, 37234168, 37384681, 38787951, 38631875, 37884321, 36488040, 38277866, 37712957, 37592471, 37764388, 38001506, 39310731, 39129312, 38775264, 38727278, 39418174, 37481738, 37068205, 37151080, 36609394, 37860632, 37582222, 37149789, 38123424, 38895329, 38558775]"
0,4,Qwen/Qwen3-235B-A22B,10,128,0,4798686512,4798686512,1,68212922,37247823,"[28765845, 34450118, 35079865, 34703877, 33165380, 34184857, 35773075, 35260115, 35830072, 36037137, 36362527, 36438450, 35084807, 35384777, 35140352, 35362300, 35812725, 36819194, 36042520, 36067145, 36147113, 36288558, 36151829, 35410464, 36322944, 37785863, 38663797, 38943095, 37660614, 39044818, 37314093, 38289424, 36891058, 37819378, 38262332, 36604325, 36752708, 38154997, 38406257, 39644201, 38131228, 35253451, 35074553, 36680480, 35780955, 37210977, 36349384, 36640025, 37592018, 36155091, 37644601, 37576605, 37626161, 37167322, 36262341, 38103266, 37222606, 37440638, 37488395, 37772457, 37504489, 36760943, 37492070, 36983036, 37891102, 38328342, 37468662, 36416862, 37400588, 36070123, 37557117, 37783555, 37887041, 37471994, 36955456, 38247308, 38935881, 38459810, 37454854, 38344142, 38746287, 38149559, 38381197, 37518974, 38055521, 37617951, 37086668, 37117830, 38302583, 38574919, 38905336, 38368919, 38775464, 38897086, 38442493, 38905127, 38011820, 38807526, 38090880, 36633377, 36573567, 37234168, 37384681, 38787951, 38631875, 37884321, 36488040, 38277866, 37712957, 37592471, 37764388, 38001506, 39310731, 39129312, 38775264, 38727278, 39418174, 37481738, 37068205, 37151080, 36609394, 37860632, 37582222, 37149789, 38123424, 38895329, 38558775]"
0,5,Qwen/Qwen3-235B-A22B,17,128,0,4798686512,4798686512,1,68212922,37247823,"[28765845, 34450118, 35079865, 34703877, 33165380, 34184857, 35773075, 35260115, 35830072, 36037137, 36362527, 36438450, 35084807, 35384777, 35140352, 35362300, 35812725, 36819194, 36042520, 36067145, 36147113, 36288558, 36151829, 35410464, 36322944, 37785863, 38663797, 38943095, 37660614, 39044818, 37314093, 38289424, 36891058, 37819378, 38262332, 36604325, 36752708, 38154997, 38406257, 39644201, 38131228, 35253451, 35074553, 36680480, 35780955, 37210977, 36349384, 36640025, 37592018, 36155091, 37644601, 37576605, 37626161, 37167322, 36262341, 38103266, 37222606, 37440638, 37488395, 37772457, 37504489, 36760943, 37492070, 36983036, 37891102, 38328342, 37468662, 36416862, 37400588, 36070123, 37557117, 37783555, 37887041, 37471994, 36955456, 38247308, 38935881, 38459810, 37454854, 38344142, 38746287, 38149559, 38381197, 37518974, 38055521, 37617951, 37086668, 37117830, 38302583, 38574919, 38905336, 38368919, 38775464, 38897086, 38442493, 38905127, 38011820, 38807526, 38090880, 36633377, 36573567, 37234168, 37384681, 38787951, 38631875, 37884321, 36488040, 38277866, 37712957, 37592471, 37764388, 38001506, 39310731, 39129312, 38775264, 38727278, 39418174, 37481738, 37068205, 37151080, 36609394, 37860632, 37582222, 37149789, 38123424, 38895329, 38558775]"
0,6,Qwen/Qwen3-235B-A22B,23,128,0,4798686512,4798686512,1,68212922,37247823,"[28765845, 34450118, 35079865, 34703877, 33165380, 34184857, 35773075, 35260115, 35830072, 36037137, 36362527, 36438450, 35084807, 35384777, 35140352, 35362300, 35812725, 36819194, 36042520, 36067145, 36147113, 36288558, 36151829, 35410464, 36322944, 37785863, 38663797, 38943095, 37660614, 39044818, 37314093, 38289424, 36891058, 37819378, 38262332, 36604325, 36752708, 38154997, 38406257, 39644201, 38131228, 35253451, 35074553, 36680480, 35780955, 37210977, 36349384, 36640025, 37592018, 36155091, 37644601, 37576605, 37626161, 37167322, 36262341, 38103266, 37222606, 37440638, 37488395, 37772457, 37504489, 36760943, 37492070, 36983036, 37891102, 38328342, 37468662, 36416862, 37400588, 36070123, 37557117, 37783555, 37887041, 37471994, 36955456, 38247308, 38935881, 38459810, 37454854, 38344142, 38746287, 38149559, 38381197, 37518974, 38055521, 37617951, 37086668, 37117830, 38302583, 38574919, 38905336, 38368919, 38775464, 38897086, 38442493, 38905127, 38011820, 38807526, 38090880, 36633377, 36573567, 37234168, 37384681, 38787951, 38631875, 37884321, 36488040, 38277866, 37712957, 37592471, 37764388, 38001506, 39310731, 39129312, 38775264, 38727278, 39418174, 37481738, 37068205, 37151080, 36609394, 37860632, 37582222, 37149789, 38123424, 38895329, 38558775]"
0,7,Qwen/Qwen3-235B-A22B,13,128,0,4798686512,4798686512,1,68212922,37247823,"[28765845, 34450118, 35079865, 34703877, 33165380, 34184857, 35773075, 35260115, 35830072, 36037137, 36362527, 36438450, 35084807, 35384777, 35140352, 35362300, 35812725, 36819194, 36042520, 36067145, 36147113, 36288558, 36151829, 35410464, 36322944, 37785863, 38663797, 38943095, 37660614, 39044818, 37314093, 38289424, 36891058, 37819378, 38262332, 36604325, 36752708, 38154997, 38406257, 39644201, 38131228, 35253451, 35074553, 36680480, 35780955, 37210977, 36349384, 36640025, 37592018, 36155091, 37644601, 37576605, 37626161, 37167322, 36262341, 38103266, 37222606, 37440638, 37488395, 37772457, 37504489, 36760943, 37492070, 36983036, 37891102, 38328342, 37468662, 36416862, 37400588, 36070123, 37557117, 37783555, 37887041, 37471994, 36955456, 38247308, 38935881, 38459810, 37454854, 38344142, 38746287, 38149559, 38381197, 37518974, 38055521, 37617951, 37086668, 37117830, 38302583, 38574919, 38905336, 38368919, 38775464, 38897086, 38442493, 38905127, 38011820, 38807526, 38090880, 36633377, 36573567, 37234168, 37384681, 38787951, 38631875, 37884321, 36488040, 38277866, 37712957, 37592471, 37764388, 38001506, 39310731, 39129312, 38775264, 38727278, 39418174, 37481738, 37068205, 37151080, 36609394, 37860632, 37582222, 37149789, 38123424, 38895329, 38558775]"
0,8,Qwen/Qwen3-235B-A22B,10,128,0,4798686512,4798686512,1,68212922,37247823,"[28765845, 34450118, 35079865, 34703877, 33165380, 34184857, 35773075, 35260115, 35830072, 36037137, 36362527, 36438450, 35084807, 35384777, 35140352, 35362300, 35812725, 36819194, 36042520, 36067145, 36147113, 36288558, 36151829, 35410464, 36322944, 37785863, 38663797, 38943095, 37660614, 39044818, 37314093, 38289424, 36891058, 37819378, 38262332, 36604325, 36752708, 38154997, 38406257, 39644201, 38131228, 35253451, 35074553, 36680480, 35780955, 37210977, 36349384, 36640025, 37592018, 36155091, 37644601, 37576605, 37626161, 37167322, 36262341, 38103266, 37222606, 37440638, 37488395, 37772457, 37504489, 36760943, 37492070, 36983036, 37891102, 38328342, 37468662, 36416862, 37400588, 36070123, 37557117, 37783555, 37887041, 37471994, 36955456, 38247308, 38935881, 38459810, 37454854, 38344142, 38746287, 38149559, 38381197, 37518974, 38055521, 37617951, 37086668, 37117830, 38302583, 38574919, 38905336, 38368919, 38775464, 38897086, 38442493, 38905127, 38011820, 38807526, 38090880, 36633377, 36573567, 37234168, 37384681, 38787951, 38631875, 37884321, 36488040, 38277866, 37712957, 37592471, 37764388, 38001506, 39310731, 39129312, 38775264, 38727278, 39418174, 37481738, 37068205, 37151080, 36609394, 37860632, 37582222, 37149789, 38123424, 38895329, 38558775]"
0,9,Qwen/Qwen3-235B-A22B,14,128,0,4798686512,4798686512,1,68212922,37247823,"[28765845, 34450118, 35079865, 34703877, 33165380, 34184857, 35773075, 35260115, 35830072, 36037137, 36362527, 36438450, 35084807, 35384777, 35140352, 35362300, 35812725, 36819194, 36042520, 36067145, 36147113, 36288558, 36151829, 35410464, 36322944, 37785863, 38663797, 38943095, 37660614, 39044818, 37314093, 38289424, 36891058, 37819378, 38262332, 36604325, 36752708, 38154997, 38406257, 39644201, 38131228, 35253451, 35074553, 36680480, 35780955, 37210977, 36349384, 36640025, 37592018, 36155091, 37644601, 37576605, 37626161, 37167322, 36262341, 38103266, 37222606, 37440638, 37488395, 37772457, 37504489, 36760943, 37492070, 36983036, 37891102, 38328342, 37468662, 36416862, 37400588, 36070123, 37557117, 37783555, 37887041, 37471994, 36955456, 38247308, 38935881, 38459810, 37454854, 38344142, 38746287, 38149559, 38381197, 37518974, 38055521, 37617951, 37086668, 37117830, 38302583, 38574919, 38905336, 38368919, 38775464, 38897086, 38442493, 38905127, 38011820, 38807526, 38090880, 36633377, 36573567, 37234168, 37384681, 38787951, 38631875, 37884321, 36488040, 38277866, 37712957, 37592471, 37764388, 38001506, 39310731, 39129312, 38775264, 38727278, 39418174, 37481738, 37068205, 37151080, 36609394, 37860632, 37582222, 37149789, 38123424, 38895329, 38558775]"
