instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,Qwen/Qwen3-235B-A22B,20,128,0,1909442696759,1909442696759,1,34488821805,14763416338,"[10930088507, 14028657793, 14369358376, 14018602253, 12958094922, 13421796799, 14426860758, 14530742267, 13802626171, 13954209922, 14492798110, 14768992808, 14710078423, 14521042655, 14653441124, 14360599560, 14909294448, 14919033058, 14654226707, 13734920053, 14218055595, 14748598348, 14388976366, 14444966991, 14427114035, 15061468556, 15496832287, 15686530432, 15146999248, 15753149247, 15052082072, 15194369690, 14416668363, 14663621426, 15090554945, 13725759505, 13839331468, 14361343619, 14579172486, 14844409907, 14891412967, 13839957665, 13896106883, 14227790903, 14341169447, 14625333389, 14303327981, 14795516026, 15221897165, 14625426206, 15127410297, 15260105679, 14654334582, 14038418348, 13773995970, 14379637225, 13669130840, 14482927957, 14379383417, 14607028708, 14408326279, 14550079688, 14436369940, 14918932794, 14844073592, 15375952362, 15232078227, 14654865473, 15061435813, 14767299943, 15138103345, 14797784143, 14958720592, 15139183704, 14834897645, 15015203906, 15205345707, 15337309867, 15042970406, 15090834587, 15157083700, 15251437618, 15364985080, 15326846425, 15914195422, 15289301949, 14824851589, 15033868457, 15119574275, 15649853897, 15820135447, 15166199774, 15081685584, 15194723618, 14579596251, 15582813516, 14597792573, 14882243760, 14834999890, 14616600656, 14579119772, 14900823209, 14740507548, 15281041019, 15763050482, 15156825764, 14843774133, 15460252227, 14967197438, 15279611143, 15052491303, 14910594526, 15203729933, 15516387269, 15327036311, 15364613897, 15697411335, 14494798915, 14731049290, 14569772532, 14436364641, 14711011853, 15222510941, 14672606520, 15109015427, 15279876881, 15138062196]"
0,1,Qwen/Qwen3-235B-A22B,12,128,0,1909442696759,1909442696759,1,34488821805,14763416338,"[10930088507, 14028657793, 14369358376, 14018602253, 12958094922, 13421796799, 14426860758, 14530742267, 13802626171, 13954209922, 14492798110, 14768992808, 14710078423, 14521042655, 14653441124, 14360599560, 14909294448, 14919033058, 14654226707, 13734920053, 14218055595, 14748598348, 14388976366, 14444966991, 14427114035, 15061468556, 15496832287, 15686530432, 15146999248, 15753149247, 15052082072, 15194369690, 14416668363, 14663621426, 15090554945, 13725759505, 13839331468, 14361343619, 14579172486, 14844409907, 14891412967, 13839957665, 13896106883, 14227790903, 14341169447, 14625333389, 14303327981, 14795516026, 15221897165, 14625426206, 15127410297, 15260105679, 14654334582, 14038418348, 13773995970, 14379637225, 13669130840, 14482927957, 14379383417, 14607028708, 14408326279, 14550079688, 14436369940, 14918932794, 14844073592, 15375952362, 15232078227, 14654865473, 15061435813, 14767299943, 15138103345, 14797784143, 14958720592, 15139183704, 14834897645, 15015203906, 15205345707, 15337309867, 15042970406, 15090834587, 15157083700, 15251437618, 15364985080, 15326846425, 15914195422, 15289301949, 14824851589, 15033868457, 15119574275, 15649853897, 15820135447, 15166199774, 15081685584, 15194723618, 14579596251, 15582813516, 14597792573, 14882243760, 14834999890, 14616600656, 14579119772, 14900823209, 14740507548, 15281041019, 15763050482, 15156825764, 14843774133, 15460252227, 14967197438, 15279611143, 15052491303, 14910594526, 15203729933, 15516387269, 15327036311, 15364613897, 15697411335, 14494798915, 14731049290, 14569772532, 14436364641, 14711011853, 15222510941, 14672606520, 15109015427, 15279876881, 15138062196]"
0,2,Qwen/Qwen3-235B-A22B,17,128,0,1909442696759,1909442696759,1,34488821805,14763416338,"[10930088507, 14028657793, 14369358376, 14018602253, 12958094922, 13421796799, 14426860758, 14530742267, 13802626171, 13954209922, 14492798110, 14768992808, 14710078423, 14521042655, 14653441124, 14360599560, 14909294448, 14919033058, 14654226707, 13734920053, 14218055595, 14748598348, 14388976366, 14444966991, 14427114035, 15061468556, 15496832287, 15686530432, 15146999248, 15753149247, 15052082072, 15194369690, 14416668363, 14663621426, 15090554945, 13725759505, 13839331468, 14361343619, 14579172486, 14844409907, 14891412967, 13839957665, 13896106883, 14227790903, 14341169447, 14625333389, 14303327981, 14795516026, 15221897165, 14625426206, 15127410297, 15260105679, 14654334582, 14038418348, 13773995970, 14379637225, 13669130840, 14482927957, 14379383417, 14607028708, 14408326279, 14550079688, 14436369940, 14918932794, 14844073592, 15375952362, 15232078227, 14654865473, 15061435813, 14767299943, 15138103345, 14797784143, 14958720592, 15139183704, 14834897645, 15015203906, 15205345707, 15337309867, 15042970406, 15090834587, 15157083700, 15251437618, 15364985080, 15326846425, 15914195422, 15289301949, 14824851589, 15033868457, 15119574275, 15649853897, 15820135447, 15166199774, 15081685584, 15194723618, 14579596251, 15582813516, 14597792573, 14882243760, 14834999890, 14616600656, 14579119772, 14900823209, 14740507548, 15281041019, 15763050482, 15156825764, 14843774133, 15460252227, 14967197438, 15279611143, 15052491303, 14910594526, 15203729933, 15516387269, 15327036311, 15364613897, 15697411335, 14494798915, 14731049290, 14569772532, 14436364641, 14711011853, 15222510941, 14672606520, 15109015427, 15279876881, 15138062196]"
0,3,Qwen/Qwen3-235B-A22B,18,128,0,1909442696759,1909442696759,1,34488821805,14763416338,"[10930088507, 14028657793, 14369358376, 14018602253, 12958094922, 13421796799, 14426860758, 14530742267, 13802626171, 13954209922, 14492798110, 14768992808, 14710078423, 14521042655, 14653441124, 14360599560, 14909294448, 14919033058, 14654226707, 13734920053, 14218055595, 14748598348, 14388976366, 14444966991, 14427114035, 15061468556, 15496832287, 15686530432, 15146999248, 15753149247, 15052082072, 15194369690, 14416668363, 14663621426, 15090554945, 13725759505, 13839331468, 14361343619, 14579172486, 14844409907, 14891412967, 13839957665, 13896106883, 14227790903, 14341169447, 14625333389, 14303327981, 14795516026, 15221897165, 14625426206, 15127410297, 15260105679, 14654334582, 14038418348, 13773995970, 14379637225, 13669130840, 14482927957, 14379383417, 14607028708, 14408326279, 14550079688, 14436369940, 14918932794, 14844073592, 15375952362, 15232078227, 14654865473, 15061435813, 14767299943, 15138103345, 14797784143, 14958720592, 15139183704, 14834897645, 15015203906, 15205345707, 15337309867, 15042970406, 15090834587, 15157083700, 15251437618, 15364985080, 15326846425, 15914195422, 15289301949, 14824851589, 15033868457, 15119574275, 15649853897, 15820135447, 15166199774, 15081685584, 15194723618, 14579596251, 15582813516, 14597792573, 14882243760, 14834999890, 14616600656, 14579119772, 14900823209, 14740507548, 15281041019, 15763050482, 15156825764, 14843774133, 15460252227, 14967197438, 15279611143, 15052491303, 14910594526, 15203729933, 15516387269, 15327036311, 15364613897, 15697411335, 14494798915, 14731049290, 14569772532, 14436364641, 14711011853, 15222510941, 14672606520, 15109015427, 15279876881, 15138062196]"
0,4,Qwen/Qwen3-235B-A22B,10,128,0,1909442696759,1909442696759,1,34488821805,14763416338,"[10930088507, 14028657793, 14369358376, 14018602253, 12958094922, 13421796799, 14426860758, 14530742267, 13802626171, 13954209922, 14492798110, 14768992808, 14710078423, 14521042655, 14653441124, 14360599560, 14909294448, 14919033058, 14654226707, 13734920053, 14218055595, 14748598348, 14388976366, 14444966991, 14427114035, 15061468556, 15496832287, 15686530432, 15146999248, 15753149247, 15052082072, 15194369690, 14416668363, 14663621426, 15090554945, 13725759505, 13839331468, 14361343619, 14579172486, 14844409907, 14891412967, 13839957665, 13896106883, 14227790903, 14341169447, 14625333389, 14303327981, 14795516026, 15221897165, 14625426206, 15127410297, 15260105679, 14654334582, 14038418348, 13773995970, 14379637225, 13669130840, 14482927957, 14379383417, 14607028708, 14408326279, 14550079688, 14436369940, 14918932794, 14844073592, 15375952362, 15232078227, 14654865473, 15061435813, 14767299943, 15138103345, 14797784143, 14958720592, 15139183704, 14834897645, 15015203906, 15205345707, 15337309867, 15042970406, 15090834587, 15157083700, 15251437618, 15364985080, 15326846425, 15914195422, 15289301949, 14824851589, 15033868457, 15119574275, 15649853897, 15820135447, 15166199774, 15081685584, 15194723618, 14579596251, 15582813516, 14597792573, 14882243760, 14834999890, 14616600656, 14579119772, 14900823209, 14740507548, 15281041019, 15763050482, 15156825764, 14843774133, 15460252227, 14967197438, 15279611143, 15052491303, 14910594526, 15203729933, 15516387269, 15327036311, 15364613897, 15697411335, 14494798915, 14731049290, 14569772532, 14436364641, 14711011853, 15222510941, 14672606520, 15109015427, 15279876881, 15138062196]"
0,5,Qwen/Qwen3-235B-A22B,17,128,0,1909442696759,1909442696759,1,34488821805,14763416338,"[10930088507, 14028657793, 14369358376, 14018602253, 12958094922, 13421796799, 14426860758, 14530742267, 13802626171, 13954209922, 14492798110, 14768992808, 14710078423, 14521042655, 14653441124, 14360599560, 14909294448, 14919033058, 14654226707, 13734920053, 14218055595, 14748598348, 14388976366, 14444966991, 14427114035, 15061468556, 15496832287, 15686530432, 15146999248, 15753149247, 15052082072, 15194369690, 14416668363, 14663621426, 15090554945, 13725759505, 13839331468, 14361343619, 14579172486, 14844409907, 14891412967, 13839957665, 13896106883, 14227790903, 14341169447, 14625333389, 14303327981, 14795516026, 15221897165, 14625426206, 15127410297, 15260105679, 14654334582, 14038418348, 13773995970, 14379637225, 13669130840, 14482927957, 14379383417, 14607028708, 14408326279, 14550079688, 14436369940, 14918932794, 14844073592, 15375952362, 15232078227, 14654865473, 15061435813, 14767299943, 15138103345, 14797784143, 14958720592, 15139183704, 14834897645, 15015203906, 15205345707, 15337309867, 15042970406, 15090834587, 15157083700, 15251437618, 15364985080, 15326846425, 15914195422, 15289301949, 14824851589, 15033868457, 15119574275, 15649853897, 15820135447, 15166199774, 15081685584, 15194723618, 14579596251, 15582813516, 14597792573, 14882243760, 14834999890, 14616600656, 14579119772, 14900823209, 14740507548, 15281041019, 15763050482, 15156825764, 14843774133, 15460252227, 14967197438, 15279611143, 15052491303, 14910594526, 15203729933, 15516387269, 15327036311, 15364613897, 15697411335, 14494798915, 14731049290, 14569772532, 14436364641, 14711011853, 15222510941, 14672606520, 15109015427, 15279876881, 15138062196]"
0,6,Qwen/Qwen3-235B-A22B,23,128,0,1909442696759,1909442696759,1,34488821805,14763416338,"[10930088507, 14028657793, 14369358376, 14018602253, 12958094922, 13421796799, 14426860758, 14530742267, 13802626171, 13954209922, 14492798110, 14768992808, 14710078423, 14521042655, 14653441124, 14360599560, 14909294448, 14919033058, 14654226707, 13734920053, 14218055595, 14748598348, 14388976366, 14444966991, 14427114035, 15061468556, 15496832287, 15686530432, 15146999248, 15753149247, 15052082072, 15194369690, 14416668363, 14663621426, 15090554945, 13725759505, 13839331468, 14361343619, 14579172486, 14844409907, 14891412967, 13839957665, 13896106883, 14227790903, 14341169447, 14625333389, 14303327981, 14795516026, 15221897165, 14625426206, 15127410297, 15260105679, 14654334582, 14038418348, 13773995970, 14379637225, 13669130840, 14482927957, 14379383417, 14607028708, 14408326279, 14550079688, 14436369940, 14918932794, 14844073592, 15375952362, 15232078227, 14654865473, 15061435813, 14767299943, 15138103345, 14797784143, 14958720592, 15139183704, 14834897645, 15015203906, 15205345707, 15337309867, 15042970406, 15090834587, 15157083700, 15251437618, 15364985080, 15326846425, 15914195422, 15289301949, 14824851589, 15033868457, 15119574275, 15649853897, 15820135447, 15166199774, 15081685584, 15194723618, 14579596251, 15582813516, 14597792573, 14882243760, 14834999890, 14616600656, 14579119772, 14900823209, 14740507548, 15281041019, 15763050482, 15156825764, 14843774133, 15460252227, 14967197438, 15279611143, 15052491303, 14910594526, 15203729933, 15516387269, 15327036311, 15364613897, 15697411335, 14494798915, 14731049290, 14569772532, 14436364641, 14711011853, 15222510941, 14672606520, 15109015427, 15279876881, 15138062196]"
0,7,Qwen/Qwen3-235B-A22B,13,128,0,1909442696759,1909442696759,1,34488821805,14763416338,"[10930088507, 14028657793, 14369358376, 14018602253, 12958094922, 13421796799, 14426860758, 14530742267, 13802626171, 13954209922, 14492798110, 14768992808, 14710078423, 14521042655, 14653441124, 14360599560, 14909294448, 14919033058, 14654226707, 13734920053, 14218055595, 14748598348, 14388976366, 14444966991, 14427114035, 15061468556, 15496832287, 15686530432, 15146999248, 15753149247, 15052082072, 15194369690, 14416668363, 14663621426, 15090554945, 13725759505, 13839331468, 14361343619, 14579172486, 14844409907, 14891412967, 13839957665, 13896106883, 14227790903, 14341169447, 14625333389, 14303327981, 14795516026, 15221897165, 14625426206, 15127410297, 15260105679, 14654334582, 14038418348, 13773995970, 14379637225, 13669130840, 14482927957, 14379383417, 14607028708, 14408326279, 14550079688, 14436369940, 14918932794, 14844073592, 15375952362, 15232078227, 14654865473, 15061435813, 14767299943, 15138103345, 14797784143, 14958720592, 15139183704, 14834897645, 15015203906, 15205345707, 15337309867, 15042970406, 15090834587, 15157083700, 15251437618, 15364985080, 15326846425, 15914195422, 15289301949, 14824851589, 15033868457, 15119574275, 15649853897, 15820135447, 15166199774, 15081685584, 15194723618, 14579596251, 15582813516, 14597792573, 14882243760, 14834999890, 14616600656, 14579119772, 14900823209, 14740507548, 15281041019, 15763050482, 15156825764, 14843774133, 15460252227, 14967197438, 15279611143, 15052491303, 14910594526, 15203729933, 15516387269, 15327036311, 15364613897, 15697411335, 14494798915, 14731049290, 14569772532, 14436364641, 14711011853, 15222510941, 14672606520, 15109015427, 15279876881, 15138062196]"
0,8,Qwen/Qwen3-235B-A22B,10,128,0,1909442696759,1909442696759,1,34488821805,14763416338,"[10930088507, 14028657793, 14369358376, 14018602253, 12958094922, 13421796799, 14426860758, 14530742267, 13802626171, 13954209922, 14492798110, 14768992808, 14710078423, 14521042655, 14653441124, 14360599560, 14909294448, 14919033058, 14654226707, 13734920053, 14218055595, 14748598348, 14388976366, 14444966991, 14427114035, 15061468556, 15496832287, 15686530432, 15146999248, 15753149247, 15052082072, 15194369690, 14416668363, 14663621426, 15090554945, 13725759505, 13839331468, 14361343619, 14579172486, 14844409907, 14891412967, 13839957665, 13896106883, 14227790903, 14341169447, 14625333389, 14303327981, 14795516026, 15221897165, 14625426206, 15127410297, 15260105679, 14654334582, 14038418348, 13773995970, 14379637225, 13669130840, 14482927957, 14379383417, 14607028708, 14408326279, 14550079688, 14436369940, 14918932794, 14844073592, 15375952362, 15232078227, 14654865473, 15061435813, 14767299943, 15138103345, 14797784143, 14958720592, 15139183704, 14834897645, 15015203906, 15205345707, 15337309867, 15042970406, 15090834587, 15157083700, 15251437618, 15364985080, 15326846425, 15914195422, 15289301949, 14824851589, 15033868457, 15119574275, 15649853897, 15820135447, 15166199774, 15081685584, 15194723618, 14579596251, 15582813516, 14597792573, 14882243760, 14834999890, 14616600656, 14579119772, 14900823209, 14740507548, 15281041019, 15763050482, 15156825764, 14843774133, 15460252227, 14967197438, 15279611143, 15052491303, 14910594526, 15203729933, 15516387269, 15327036311, 15364613897, 15697411335, 14494798915, 14731049290, 14569772532, 14436364641, 14711011853, 15222510941, 14672606520, 15109015427, 15279876881, 15138062196]"
0,9,Qwen/Qwen3-235B-A22B,14,128,0,1909442696759,1909442696759,1,34488821805,14763416338,"[10930088507, 14028657793, 14369358376, 14018602253, 12958094922, 13421796799, 14426860758, 14530742267, 13802626171, 13954209922, 14492798110, 14768992808, 14710078423, 14521042655, 14653441124, 14360599560, 14909294448, 14919033058, 14654226707, 13734920053, 14218055595, 14748598348, 14388976366, 14444966991, 14427114035, 15061468556, 15496832287, 15686530432, 15146999248, 15753149247, 15052082072, 15194369690, 14416668363, 14663621426, 15090554945, 13725759505, 13839331468, 14361343619, 14579172486, 14844409907, 14891412967, 13839957665, 13896106883, 14227790903, 14341169447, 14625333389, 14303327981, 14795516026, 15221897165, 14625426206, 15127410297, 15260105679, 14654334582, 14038418348, 13773995970, 14379637225, 13669130840, 14482927957, 14379383417, 14607028708, 14408326279, 14550079688, 14436369940, 14918932794, 14844073592, 15375952362, 15232078227, 14654865473, 15061435813, 14767299943, 15138103345, 14797784143, 14958720592, 15139183704, 14834897645, 15015203906, 15205345707, 15337309867, 15042970406, 15090834587, 15157083700, 15251437618, 15364985080, 15326846425, 15914195422, 15289301949, 14824851589, 15033868457, 15119574275, 15649853897, 15820135447, 15166199774, 15081685584, 15194723618, 14579596251, 15582813516, 14597792573, 14882243760, 14834999890, 14616600656, 14579119772, 14900823209, 14740507548, 15281041019, 15763050482, 15156825764, 14843774133, 15460252227, 14967197438, 15279611143, 15052491303, 14910594526, 15203729933, 15516387269, 15327036311, 15364613897, 15697411335, 14494798915, 14731049290, 14569772532, 14436364641, 14711011853, 15222510941, 14672606520, 15109015427, 15279876881, 15138062196]"
